T	Ut	Ft	St	Ct
1.5000	-1.9507	-2.0085	0.0385	0.1974
1.5100	-1.9487	-2.0089	0.0399	0.2032
1.5200	-1.9467	-2.0093	0.0412	0.2092
1.5300	-1.9446	-2.0098	0.0426	0.2153
1.5400	-1.9424	-2.0102	0.0440	0.2216
1.5500	-1.9401	-2.0106	0.0455	0.2279
1.5600	-1.9378	-2.0111	0.0470	0.2344
1.5700	-1.9354	-2.0116	0.0485	0.2410
1.5800	-1.9330	-2.0121	0.0501	0.2478
1.5900	-1.9305	-2.0126	0.0516	0.2547
1.6000	-1.9279	-2.0131	0.0533	0.2617
1.6100	-1.9252	-2.0137	0.0549	0.2689
1.6200	-1.9225	-2.0142	0.0566	0.2762
1.6300	-1.9197	-2.0148	0.0583	0.2837
1.6400	-1.9168	-2.0154	0.0601	0.2913
1.6500	-1.9139	-2.0160	0.0619	0.2991
1.6600	-1.9109	-2.0166	0.0637	0.3070
1.6700	-1.9078	-2.0173	0.0656	0.3152
1.6800	-1.9046	-2.0179	0.0675	0.3235
1.6900	-1.9013	-2.0186	0.0694	0.3320
1.7000	-1.8979	-2.0193	0.0714	0.3406
1.7100	-1.8945	-2.0200	0.0734	0.3495
1.7200	-1.8909	-2.0208	0.0755	0.3586
1.7300	-1.8873	-2.0215	0.0776	0.3678
1.7400	-1.8836	-2.0223	0.0798	0.3773
1.7500	-1.8797	-2.0231	0.0819	0.3870
1.7600	-1.8758	-2.0240	0.0842	0.3970
1.7700	-1.8718	-2.0248	0.0865	0.4071
1.7800	-1.8677	-2.0257	0.0888	0.4176
1.7900	-1.8635	-2.0266	0.0911	0.4282
1.8000	-1.8591	-2.0275	0.0936	0.4391
1.8100	-1.8547	-2.0285	0.0960	0.4503
1.8200	-1.8501	-2.0294	0.0985	0.4618
1.8300	-1.8454	-2.0304	0.1011	0.4735
1.8400	-1.8406	-2.0315	0.1037	0.4856
1.8500	-1.8357	-2.0325	0.1064	0.4979
1.8600	-1.8307	-2.0336	0.1091	0.5105
1.8700	-1.8255	-2.0347	0.1119	0.5234
1.8800	-1.8202	-2.0358	0.1147	0.5367
1.8900	-1.8148	-2.0370	0.1176	0.5503
1.9000	-1.8092	-2.0382	0.1205	0.5641
1.9100	-1.8035	-2.0394	0.1235	0.5784
1.9200	-1.7976	-2.0407	0.1266	0.5929
1.9300	-1.7916	-2.0419	0.1297	0.6078
1.9400	-1.7855	-2.0433	0.1329	0.6230
1.9500	-1.7792	-2.0446	0.1361	0.6386
1.9600	-1.7727	-2.0460	0.1394	0.6545
1.9700	-1.7661	-2.0474	0.1428	0.6707
1.9800	-1.7593	-2.0488	0.1462	0.6872
1.9900	-1.7523	-2.0503	0.1497	0.7040
2.0000	-1.7452	-2.0518	0.1533	0.7211
2.0100	-1.7379	-2.0534	0.1569	0.7385
2.0200	-1.7304	-2.0550	0.1607	0.7561
2.0300	-1.7228	-2.0566	0.1644	0.7740
2.0400	-1.7150	-2.0583	0.1683	0.7921
2.0500	-1.7069	-2.0600	0.1722	0.8104
2.0600	-1.6988	-2.0617	0.1762	0.8288
2.0700	-1.6904	-2.0635	0.1802	0.8474
2.0800	-1.6818	-2.0653	0.1844	0.8660
2.0900	-1.6730	-2.0672	0.1886	0.8847
2.1000	-1.6641	-2.0691	0.1928	0.9034
2.1100	-1.6550	-2.0710	0.1972	0.9220
2.1200	-1.6457	-2.0730	0.2016	0.9405
2.1300	-1.6362	-2.0751	0.2060	0.9589
2.1400	-1.6265	-2.0771	0.2106	0.9770
2.1500	-1.6166	-2.0793	0.2152	0.9949
2.1600	-1.6066	-2.0814	0.2198	1.0124
2.1700	-1.5964	-2.0837	0.2246	1.0295
2.1800	-1.5860	-2.0859	0.2293	1.0462
2.1900	-1.5755	-2.0883	0.2341	1.0623
2.2000	-1.5648	-2.0906	0.2390	1.0779
2.2100	-1.5539	-2.0930	0.2439	1.0927
2.2200	-1.5429	-2.0955	0.2489	1.1069
2.2300	-1.5318	-2.0980	0.2539	1.1203
2.2400	-1.5205	-2.1006	0.2590	1.1329
2.2500	-1.5091	-2.1032	0.2640	1.1446
2.2600	-1.4976	-2.1059	0.2691	1.1553
2.2700	-1.4860	-2.1086	0.2743	1.1651
2.2800	-1.4743	-2.1113	0.2794	1.1739
2.2900	-1.4625	-2.1142	0.2845	1.1816
2.3000	-1.4507	-2.1170	0.2897	1.1882
2.3100	-1.4388	-2.1200	0.2949	1.1937
2.3200	-1.4268	-2.1229	0.3000	1.1980
2.3300	-1.4148	-2.1260	0.3052	1.2012
2.3400	-1.4028	-2.1290	0.3104	1.2033
2.3500	-1.3908	-2.1322	0.3155	1.2042
2.3600	-1.3787	-2.1353	0.3206	1.2040
2.3700	-1.3667	-2.1386	0.3257	1.2027
2.3800	-1.3547	-2.1419	0.3308	1.2002
2.3900	-1.3427	-2.1452	0.3358	1.1967
2.4000	-1.3307	-2.1486	0.3408	1.1921
2.4100	-1.3188	-2.1520	0.3457	1.1865
2.4200	-1.3070	-2.1555	0.3506	1.1800
2.4300	-1.2953	-2.1590	0.3555	1.1725
2.4400	-1.2836	-2.1626	0.3603	1.1641
2.4500	-1.2720	-2.1662	0.3650	1.1549
2.4600	-1.2605	-2.1699	0.3697	1.1449
2.4700	-1.2491	-2.1736	0.3743	1.1341
2.4800	-1.2378	-2.1774	0.3789	1.1227
2.4900	-1.2266	-2.1812	0.3834	1.1107
2.5000	-1.2156	-2.1850	0.3878	1.0981
2.5100	-1.2047	-2.1889	0.3921	1.0850
2.5200	-1.1939	-2.1929	0.3964	1.0714
2.5300	-1.1832	-2.1969	0.4006	1.0574
2.5400	-1.1727	-2.2009	0.4048	1.0431
2.5500	-1.1624	-2.2050	0.4089	1.0285
2.5600	-1.1522	-2.2091	0.4129	1.0136
2.5700	-1.1421	-2.2132	0.4168	0.9986
2.5800	-1.1322	-2.2174	0.4206	0.9833
2.5900	-1.1224	-2.2216	0.4244	0.9680
2.6000	-1.1128	-2.2259	0.4281	0.9525
2.6100	-1.1034	-2.2302	0.4317	0.9371
2.6200	-1.0941	-2.2345	0.4353	0.9216
2.6300	-1.0850	-2.2389	0.4388	0.9062
2.6400	-1.0760	-2.2433	0.4422	0.8908
2.6500	-1.0671	-2.2478	0.4455	0.8755
2.6600	-1.0585	-2.2522	0.4488	0.8603
2.6700	-1.0499	-2.2567	0.4520	0.8453
2.6800	-1.0416	-2.2613	0.4551	0.8304
2.6900	-1.0333	-2.2658	0.4582	0.8157
2.7000	-1.0252	-2.2704	0.4612	0.8011
2.7100	-1.0173	-2.2751	0.4641	0.7868
2.7200	-1.0095	-2.2797	0.4670	0.7727
2.7300	-1.0018	-2.2844	0.4698	0.7588
2.7400	-0.9943	-2.2891	0.4725	0.7452
2.7500	-0.9869	-2.2938	0.4752	0.7317
2.7600	-0.9797	-2.2986	0.4779	0.7186
2.7700	-0.9726	-2.3034	0.4804	0.7057
2.7800	-0.9656	-2.3082	0.4830	0.6930
2.7900	-0.9587	-2.3131	0.4854	0.6806
2.8000	-0.9520	-2.3179	0.4878	0.6685
2.8100	-0.9453	-2.3228	0.4902	0.6566
2.8200	-0.9388	-2.3277	0.4925	0.6450
2.8300	-0.9324	-2.3327	0.4948	0.6337
2.8400	-0.9262	-2.3376	0.4970	0.6226
2.8500	-0.9200	-2.3426	0.4992	0.6118
2.8600	-0.9139	-2.3476	0.5013	0.6012
2.8700	-0.9080	-2.3526	0.5034	0.5908
2.8800	-0.9021	-2.3577	0.5054	0.5808
2.8900	-0.8963	-2.3627	0.5074	0.5709
2.9000	-0.8907	-2.3678	0.5094	0.5613
2.9100	-0.8851	-2.3729	0.5113	0.5520
2.9200	-0.8796	-2.3780	0.5132	0.5428
2.9300	-0.8743	-2.3832	0.5150	0.5339
2.9400	-0.8690	-2.3883	0.5168	0.5252
2.9500	-0.8638	-2.3935	0.5186	0.5168
2.9600	-0.8586	-2.3987	0.5203	0.5085
2.9700	-0.8536	-2.4039	0.5220	0.5005
2.9800	-0.8486	-2.4092	0.5237	0.4926
