i	E(i)	g[i]	hist[i]
0	-128.000000	0.000000	21548
4	-120.000000	4.178480	22418
6	-116.000000	4.850137	23181
8	-112.000000	7.767464	22713
10	-108.000000	9.092932	23551
12	-104.000000	11.190414	22730
14	-100.000000	12.781149	23644
16	-96.000000	14.573782	22771
18	-92.000000	16.222541	23104
20	-88.000000	17.909582	21052
22	-84.000000	19.549627	20158
24	-80.000000	21.205876	19731
26	-76.000000	22.855061	18771
28	-72.000000	24.474768	19783
30	-68.000000	26.073116	19316
32	-64.000000	27.618209	19460
34	-60.000000	29.137621	20385
36	-56.000000	30.601203	20784
38	-52.000000	31.996315	20615
40	-48.000000	33.327746	19996
42	-44.000000	34.582006	18867
44	-40.000000	35.758844	18843
46	-36.000000	36.835044	18226
48	-32.000000	37.828181	18324
50	-28.000000	38.716432	18489
52	-24.000000	39.506589	18534
54	-20.000000	40.174327	18934
56	-16.000000	40.732078	19931
58	-12.000000	41.175131	20019
60	-8.000000	41.508943	19549
62	-4.000000	41.707241	19255
64	0.000000	41.773055	19092
66	4.000000	41.710499	19384
68	8.000000	41.521520	19499
70	12.000000	41.203789	19746
72	16.000000	40.759335	20038
74	20.000000	40.194870	20167
76	24.000000	39.539643	19688
78	28.000000	38.742217	20056
80	32.000000	37.855596	19579
82	36.000000	36.864809	19659
84	40.000000	35.779598	18905
86	44.000000	34.595147	18964
88	48.000000	33.342563	18228
90	52.000000	32.026598	17833
92	56.000000	30.614882	17355
94	60.000000	29.143848	17922
96	64.000000	27.623469	17971
98	68.000000	26.075292	17740
100	72.000000	24.473470	17946
102	76.000000	22.873781	19090
104	80.000000	21.246642	18760
106	84.000000	19.608127	19998
108	88.000000	17.979165	20510
110	92.000000	16.311781	20339
112	96.000000	14.655955	21329
114	100.000000	12.886385	21194
116	104.000000	11.286143	22341
118	108.000000	9.197417	22867
120	112.000000	7.830712	23207
122	116.000000	4.901951	25464
124	120.000000	4.201642	25325
128	128.000000	0.061693	25122
