T	Ut	Ft	St	Ct
0.0100	-nan	-inf	-nan	-nan
0.0200	-2.0000	-2.0000	0.0000	0.0000
0.0300	-2.0000	-2.0000	0.0000	0.0000
0.0400	-2.0000	-2.0000	0.0000	0.0000
0.0500	-2.0000	-2.0000	0.0000	0.0000
0.0600	-2.0000	-2.0000	-0.0000	0.0000
0.0700	-2.0000	-2.0000	0.0000	0.0000
0.0800	-2.0000	-2.0000	0.0000	0.0000
0.0900	-2.0000	-2.0000	-0.0000	0.0000
0.1000	-2.0000	-2.0000	-0.0000	0.0000
0.1100	-2.0000	-2.0000	0.0000	0.0000
0.1200	-2.0000	-2.0000	0.0000	0.0000
0.1300	-2.0000	-2.0000	0.0000	0.0000
0.1400	-2.0000	-2.0000	0.0000	0.0000
0.1500	-2.0000	-2.0000	0.0000	0.0000
0.1600	-2.0000	-2.0000	0.0000	0.0000
0.1700	-2.0000	-2.0000	0.0000	0.0000
0.1800	-2.0000	-2.0000	-0.0000	0.0000
0.1900	-2.0000	-2.0000	0.0000	0.0000
0.2000	-2.0000	-2.0000	0.0000	0.0000
0.2100	-2.0000	-2.0000	0.0000	0.0000
0.2200	-2.0000	-2.0000	0.0000	0.0000
0.2300	-2.0000	-2.0000	0.0000	-0.0000
0.2400	-2.0000	-2.0000	0.0000	0.0000
0.2500	-2.0000	-2.0000	0.0000	0.0000
0.2600	-2.0000	-2.0000	0.0000	0.0000
0.2700	-2.0000	-2.0000	0.0000	0.0000
0.2800	-2.0000	-2.0000	0.0000	0.0000
0.2900	-2.0000	-2.0000	0.0000	0.0000
0.3000	-2.0000	-2.0000	0.0000	0.0000
0.3100	-2.0000	-2.0000	0.0000	0.0000
0.3200	-2.0000	-2.0000	0.0000	0.0000
0.3300	-2.0000	-2.0000	0.0000	0.0000
0.3400	-2.0000	-2.0000	0.0000	0.0000
0.3500	-2.0000	-2.0000	0.0000	0.0000
0.3600	-2.0000	-2.0000	0.0000	0.0000
0.3700	-2.0000	-2.0000	0.0000	0.0000
0.3800	-2.0000	-2.0000	0.0000	0.0000
0.3900	-2.0000	-2.0000	0.0000	0.0000
0.4000	-2.0000	-2.0000	0.0000	0.0000
0.4100	-2.0000	-2.0000	0.0000	0.0000
0.4200	-2.0000	-2.0000	0.0000	0.0000
0.4300	-2.0000	-2.0000	0.0000	0.0000
0.4400	-2.0000	-2.0000	0.0000	0.0000
0.4500	-2.0000	-2.0000	0.0000	0.0000
0.4600	-2.0000	-2.0000	0.0000	0.0000
0.4700	-2.0000	-2.0000	0.0000	0.0000
0.4800	-2.0000	-2.0000	0.0000	0.0000
0.4900	-2.0000	-2.0000	0.0000	0.0000
0.5000	-2.0000	-2.0000	0.0000	0.0000
0.5100	-2.0000	-2.0000	0.0000	0.0000
0.5200	-2.0000	-2.0000	0.0000	0.0000
0.5300	-2.0000	-2.0000	0.0000	0.0001
0.5400	-2.0000	-2.0000	0.0000	0.0001
0.5500	-2.0000	-2.0000	0.0000	0.0001
0.5600	-2.0000	-2.0000	0.0000	0.0001
0.5700	-2.0000	-2.0000	0.0000	0.0001
0.5800	-2.0000	-2.0000	0.0000	0.0002
0.5900	-2.0000	-2.0000	0.0000	0.0002
0.6000	-2.0000	-2.0000	0.0000	0.0002
0.6100	-2.0000	-2.0000	0.0000	0.0003
0.6200	-2.0000	-2.0000	0.0000	0.0003
0.6300	-2.0000	-2.0000	0.0000	0.0004
0.6400	-2.0000	-2.0000	0.0000	0.0005
0.6500	-2.0000	-2.0000	0.0001	0.0006
0.6600	-2.0000	-2.0000	0.0001	0.0007
0.6700	-2.0000	-2.0000	0.0001	0.0008
0.6800	-1.9999	-2.0000	0.0001	0.0009
0.6900	-1.9999	-2.0000	0.0001	0.0011
0.7000	-1.9999	-2.0000	0.0001	0.0012
0.7100	-1.9999	-2.0000	0.0001	0.0014
0.7200	-1.9999	-2.0000	0.0002	0.0016
0.7300	-1.9999	-2.0000	0.0002	0.0018
0.7400	-1.9999	-2.0000	0.0002	0.0020
0.7500	-1.9998	-2.0000	0.0002	0.0023
0.7600	-1.9998	-2.0000	0.0003	0.0026
0.7700	-1.9998	-2.0000	0.0003	0.0029
0.7800	-1.9998	-2.0000	0.0003	0.0033
0.7900	-1.9997	-2.0000	0.0004	0.0036
0.8000	-1.9997	-2.0000	0.0004	0.0041
0.8100	-1.9996	-2.0000	0.0005	0.0045
0.8200	-1.9996	-2.0000	0.0005	0.0050
0.8300	-1.9995	-2.0000	0.0006	0.0055
0.8400	-1.9995	-2.0001	0.0007	0.0061
0.8500	-1.9994	-2.0001	0.0008	0.0067
0.8600	-1.9993	-2.0001	0.0008	0.0074
0.8700	-1.9993	-2.0001	0.0009	0.0081
0.8800	-1.9992	-2.0001	0.0010	0.0089
0.8900	-1.9991	-2.0001	0.0011	0.0097
0.9000	-1.9990	-2.0001	0.0012	0.0106
0.9100	-1.9989	-2.0001	0.0014	0.0115
0.9200	-1.9988	-2.0001	0.0015	0.0125
0.9300	-1.9986	-2.0002	0.0016	0.0136
0.9400	-1.9985	-2.0002	0.0018	0.0147
0.9500	-1.9983	-2.0002	0.0019	0.0159
0.9600	-1.9982	-2.0002	0.0021	0.0172
0.9700	-1.9980	-2.0002	0.0023	0.0185
0.9800	-1.9978	-2.0003	0.0025	0.0198
0.9900	-1.9976	-2.0003	0.0027	0.0212
1.0000	-1.9974	-2.0003	0.0029	0.0227
1.0100	-1.9971	-2.0003	0.0032	0.0242
1.0200	-1.9969	-2.0004	0.0034	0.0258
1.0300	-1.9966	-2.0004	0.0037	0.0274
1.0400	-1.9963	-2.0004	0.0039	0.0291
1.0500	-1.9960	-2.0005	0.0042	0.0308
1.0600	-1.9957	-2.0005	0.0045	0.0325
1.0700	-1.9954	-2.0006	0.0048	0.0343
1.0800	-1.9950	-2.0006	0.0052	0.0361
1.0900	-1.9947	-2.0007	0.0055	0.0381
1.1000	-1.9943	-2.0007	0.0059	0.0400
1.1100	-1.9939	-2.0008	0.0062	0.0421
1.1200	-1.9934	-2.0009	0.0066	0.0442
1.1300	-1.9930	-2.0009	0.0070	0.0465
1.1400	-1.9925	-2.0010	0.0075	0.0488
1.1500	-1.9920	-2.0011	0.0079	0.0512
1.1600	-1.9915	-2.0012	0.0083	0.0538
1.1700	-1.9909	-2.0012	0.0088	0.0565
1.1800	-1.9904	-2.0013	0.0093	0.0592
1.1900	-1.9897	-2.0014	0.0098	0.0621
1.2000	-1.9891	-2.0015	0.0104	0.0651
1.2100	-1.9884	-2.0016	0.0109	0.0682
1.2200	-1.9877	-2.0018	0.0115	0.0714
1.2300	-1.9870	-2.0019	0.0121	0.0747
1.2400	-1.9863	-2.0020	0.0127	0.0781
1.2500	-1.9855	-2.0021	0.0133	0.0816
1.2600	-1.9846	-2.0023	0.0140	0.0851
1.2700	-1.9838	-2.0024	0.0147	0.0888
1.2800	-1.9828	-2.0026	0.0154	0.0925
1.2900	-1.9819	-2.0027	0.0161	0.0962
1.3000	-1.9809	-2.0029	0.0169	0.1001
1.3100	-1.9799	-2.0030	0.0177	0.1041
1.3200	-1.9788	-2.0032	0.0185	0.1081
1.3300	-1.9777	-2.0034	0.0193	0.1122
1.3400	-1.9766	-2.0036	0.0202	0.1165
1.3500	-1.9754	-2.0038	0.0210	0.1209
1.3600	-1.9742	-2.0040	0.0220	0.1255
1.3700	-1.9729	-2.0043	0.0229	0.1303
1.3800	-1.9716	-2.0045	0.0239	0.1353
1.3900	-1.9702	-2.0047	0.0249	0.1404
1.4000	-1.9688	-2.0050	0.0259	0.1456
1.4100	-1.9673	-2.0053	0.0269	0.1510
1.4200	-1.9657	-2.0055	0.0280	0.1563
1.4300	-1.9641	-2.0058	0.0291	0.1617
1.4400	-1.9625	-2.0061	0.0303	0.1670
1.4500	-1.9608	-2.0064	0.0315	0.1722
1.4600	-1.9591	-2.0067	0.0327	0.1773
1.4700	-1.9573	-2.0071	0.0339	0.1824
1.4800	-1.9554	-2.0074	0.0351	0.1876
1.4900	-1.9535	-2.0078	0.0364	0.1928
1.5000	-1.9516	-2.0081	0.0377	0.1983
1.5100	-1.9495	-2.0085	0.0391	0.2041
1.5200	-1.9475	-2.0089	0.0404	0.2102
1.5300	-1.9453	-2.0093	0.0418	0.2166
1.5400	-1.9431	-2.0098	0.0433	0.2233
1.5500	-1.9409	-2.0102	0.0447	0.2301
1.5600	-1.9385	-2.0107	0.0462	0.2370
1.5700	-1.9361	-2.0111	0.0478	0.2438
1.5800	-1.9337	-2.0116	0.0493	0.2504
1.5900	-1.9311	-2.0121	0.0509	0.2567
1.6000	-1.9285	-2.0126	0.0526	0.2629
