T	Ut	Ft	St	Ct
0.0100	-nan	-inf	-nan	-nan
0.0200	-2.0000	-2.0000	0.0000	0.0000
0.0300	-2.0000	-2.0000	-0.0000	0.0000
0.0400	-2.0000	-2.0000	0.0000	0.0000
0.0500	-2.0000	-2.0000	0.0000	0.0000
0.0600	-2.0000	-2.0000	0.0000	0.0000
0.0700	-2.0000	-2.0000	0.0000	0.0000
0.0800	-2.0000	-2.0000	0.0000	0.0000
0.0900	-2.0000	-2.0000	0.0000	0.0000
0.1000	-2.0000	-2.0000	0.0000	0.0000
0.1100	-2.0000	-2.0000	0.0000	0.0000
0.1200	-2.0000	-2.0000	0.0000	0.0000
0.1300	-2.0000	-2.0000	0.0000	0.0000
0.1400	-2.0000	-2.0000	0.0000	0.0000
0.1500	-2.0000	-2.0000	-0.0000	0.0000
0.1600	-2.0000	-2.0000	0.0000	0.0000
0.1700	-2.0000	-2.0000	0.0000	0.0000
0.1800	-2.0000	-2.0000	0.0000	0.0000
0.1900	-2.0000	-2.0000	0.0000	-0.0000
0.2000	-2.0000	-2.0000	0.0000	0.0000
0.2100	-2.0000	-2.0000	0.0000	0.0000
0.2200	-2.0000	-2.0000	0.0000	0.0000
0.2300	-2.0000	-2.0000	0.0000	-0.0000
0.2400	-2.0000	-2.0000	0.0000	0.0000
0.2500	-2.0000	-2.0000	0.0000	0.0000
0.2600	-2.0000	-2.0000	0.0000	0.0000
0.2700	-2.0000	-2.0000	0.0000	0.0000
0.2800	-2.0000	-2.0000	0.0000	-0.0000
0.2900	-2.0000	-2.0000	0.0000	0.0000
0.3000	-2.0000	-2.0000	0.0000	0.0000
0.3100	-2.0000	-2.0000	0.0000	0.0000
0.3200	-2.0000	-2.0000	0.0000	0.0000
0.3300	-2.0000	-2.0000	0.0000	0.0000
0.3400	-2.0000	-2.0000	0.0000	0.0000
0.3500	-2.0000	-2.0000	0.0000	0.0000
0.3600	-2.0000	-2.0000	0.0000	0.0000
0.3700	-2.0000	-2.0000	0.0000	0.0000
0.3800	-2.0000	-2.0000	0.0000	0.0000
0.3900	-2.0000	-2.0000	0.0000	0.0000
0.4000	-2.0000	-2.0000	0.0000	0.0000
0.4100	-2.0000	-2.0000	0.0000	0.0000
0.4200	-2.0000	-2.0000	0.0000	0.0000
0.4300	-2.0000	-2.0000	0.0000	0.0000
0.4400	-2.0000	-2.0000	0.0000	0.0000
0.4500	-2.0000	-2.0000	0.0000	0.0000
0.4600	-2.0000	-2.0000	0.0000	0.0000
0.4700	-2.0000	-2.0000	0.0000	0.0000
0.4800	-2.0000	-2.0000	0.0000	0.0000
0.4900	-2.0000	-2.0000	0.0000	0.0000
0.5000	-2.0000	-2.0000	0.0000	0.0000
0.5100	-2.0000	-2.0000	0.0000	0.0000
0.5200	-2.0000	-2.0000	0.0000	0.0000
0.5300	-2.0000	-2.0000	0.0000	0.0000
0.5400	-2.0000	-2.0000	0.0000	0.0000
0.5500	-2.0000	-2.0000	0.0000	0.0000
0.5600	-2.0000	-2.0000	0.0000	0.0000
0.5700	-2.0000	-2.0000	0.0000	0.0001
0.5800	-2.0000	-2.0000	0.0000	0.0001
0.5900	-2.0000	-2.0000	0.0000	0.0001
0.6000	-2.0000	-2.0000	0.0000	0.0001
0.6100	-2.0000	-2.0000	0.0000	0.0001
0.6200	-2.0000	-2.0000	0.0000	0.0001
0.6300	-2.0000	-2.0000	0.0000	0.0002
0.6400	-2.0000	-2.0000	0.0000	0.0002
0.6500	-2.0000	-2.0000	0.0000	0.0002
0.6600	-2.0000	-2.0000	0.0000	0.0003
0.6700	-2.0000	-2.0000	0.0000	0.0003
0.6800	-2.0000	-2.0000	0.0000	0.0004
0.6900	-2.0000	-2.0000	0.0000	0.0005
0.7000	-2.0000	-2.0000	0.0000	0.0006
0.7100	-2.0000	-2.0000	0.0001	0.0007
0.7200	-2.0000	-2.0000	0.0001	0.0008
0.7300	-1.9999	-2.0000	0.0001	0.0009
0.7400	-1.9999	-2.0000	0.0001	0.0011
0.7500	-1.9999	-2.0000	0.0001	0.0012
0.7600	-1.9999	-2.0000	0.0001	0.0015
0.7700	-1.9999	-2.0000	0.0001	0.0017
0.7800	-1.9999	-2.0000	0.0002	0.0020
0.7900	-1.9999	-2.0000	0.0002	0.0023
0.8000	-1.9998	-2.0000	0.0002	0.0027
0.8100	-1.9998	-2.0000	0.0003	0.0031
0.8200	-1.9998	-2.0000	0.0003	0.0036
0.8300	-1.9997	-2.0000	0.0004	0.0042
0.8400	-1.9997	-2.0000	0.0004	0.0049
0.8500	-1.9996	-2.0000	0.0005	0.0057
0.8600	-1.9996	-2.0000	0.0005	0.0065
0.8700	-1.9995	-2.0000	0.0006	0.0075
0.8800	-1.9994	-2.0000	0.0007	0.0085
0.8900	-1.9993	-2.0001	0.0008	0.0096
0.9000	-1.9992	-2.0001	0.0009	0.0107
0.9100	-1.9991	-2.0001	0.0011	0.0118
0.9200	-1.9990	-2.0001	0.0012	0.0129
0.9300	-1.9989	-2.0001	0.0013	0.0141
0.9400	-1.9987	-2.0001	0.0015	0.0153
0.9500	-1.9986	-2.0001	0.0017	0.0165
0.9600	-1.9984	-2.0001	0.0018	0.0179
0.9700	-1.9982	-2.0002	0.0020	0.0194
0.9800	-1.9980	-2.0002	0.0022	0.0209
0.9900	-1.9978	-2.0002	0.0025	0.0225
1.0000	-1.9975	-2.0002	0.0027	0.0239
1.0100	-1.9973	-2.0003	0.0029	0.0253
1.0200	-1.9970	-2.0003	0.0032	0.0266
1.0300	-1.9968	-2.0003	0.0035	0.0278
1.0400	-1.9965	-2.0004	0.0037	0.0291
1.0500	-1.9962	-2.0004	0.0040	0.0305
1.0600	-1.9959	-2.0004	0.0043	0.0321
1.0700	-1.9955	-2.0005	0.0046	0.0338
1.0800	-1.9952	-2.0005	0.0049	0.0357
1.0900	-1.9948	-2.0006	0.0053	0.0378
1.1000	-1.9944	-2.0006	0.0056	0.0402
1.1100	-1.9940	-2.0007	0.0060	0.0428
1.1200	-1.9936	-2.0008	0.0064	0.0454
1.1300	-1.9931	-2.0008	0.0068	0.0480
1.1400	-1.9926	-2.0009	0.0073	0.0508
1.1500	-1.9921	-2.0010	0.0077	0.0541
1.1600	-1.9915	-2.0011	0.0082	0.0581
1.1700	-1.9909	-2.0011	0.0087	0.0622
1.1800	-1.9903	-2.0012	0.0093	0.0657
1.1900	-1.9896	-2.0013	0.0098	0.0677
1.2000	-1.9889	-2.0014	0.0104	0.0683
1.2100	-1.9883	-2.0015	0.0110	0.0685
1.2200	-1.9876	-2.0016	0.0115	0.0696
1.2300	-1.9869	-2.0018	0.0121	0.0719
1.2400	-1.9861	-2.0019	0.0127	0.0754
1.2500	-1.9854	-2.0020	0.0133	0.0794
1.2600	-1.9845	-2.0022	0.0140	0.0837
1.2700	-1.9837	-2.0023	0.0147	0.0885
1.2800	-1.9828	-2.0024	0.0154	0.0939
1.2900	-1.9818	-2.0026	0.0161	0.0996
1.3000	-1.9808	-2.0028	0.0169	0.1049
1.3100	-1.9797	-2.0029	0.0177	0.1092
1.3200	-1.9786	-2.0031	0.0186	0.1126
1.3300	-1.9775	-2.0033	0.0194	0.1154
1.3400	-1.9763	-2.0035	0.0203	0.1181
1.3500	-1.9751	-2.0037	0.0212	0.1207
1.3600	-1.9739	-2.0039	0.0221	0.1241
1.3700	-1.9726	-2.0042	0.0230	0.1286
1.3800	-1.9713	-2.0044	0.0240	0.1346
1.3900	-1.9699	-2.0046	0.0250	0.1414
1.4000	-1.9685	-2.0049	0.0260	0.1470
1.4100	-1.9670	-2.0052	0.0271	0.1502
1.4200	-1.9655	-2.0054	0.0281	0.1515
1.4300	-1.9639	-2.0057	0.0292	0.1536
1.4400	-1.9624	-2.0060	0.0303	0.1582
1.4500	-1.9608	-2.0063	0.0314	0.1646
1.4600	-1.9591	-2.0067	0.0326	0.1720
1.4700	-1.9573	-2.0070	0.0338	0.1802
1.4800	-1.9555	-2.0073	0.0350	0.1885
1.4900	-1.9536	-2.0077	0.0363	0.1954
1.5000	-1.9516	-2.0081	0.0376	0.2006
1.5100	-1.9496	-2.0084	0.0390	0.2062
1.5200	-1.9475	-2.0088	0.0404	0.2127
1.5300	-1.9453	-2.0092	0.0418	0.2182
1.5400	-1.9431	-2.0097	0.0432	0.2218
1.5500	-1.9409	-2.0101	0.0447	0.2257
1.5600	-1.9386	-2.0106	0.0461	0.2322
1.5700	-1.9362	-2.0110	0.0477	0.2411
1.5800	-1.9338	-2.0115	0.0492	0.2496
1.5900	-1.9312	-2.0120	0.0508	0.2559
1.6000	-1.9286	-2.0125	0.0524	0.2611
