i	E(i)	g[i]	hist[i]
0	-72.000000	0.000000	11552
4	-64.000000	3.563320	11938
6	-60.000000	4.266386	11705
8	-56.000000	6.638536	11995
10	-52.000000	7.952290	11198
12	-48.000000	9.699286	11459
14	-44.000000	11.205864	11226
16	-40.000000	12.852198	11123
18	-36.000000	14.412834	11346
20	-32.000000	15.927450	11431
22	-28.000000	17.302843	11129
24	-24.000000	18.600008	10627
26	-20.000000	19.733023	11073
28	-16.000000	20.704546	10799
30	-12.000000	21.478657	10716
32	-8.000000	22.049070	10227
34	-4.000000	22.400785	10277
36	0.000000	22.521606	10014
38	4.000000	22.392950	10219
40	8.000000	22.022936	10069
42	12.000000	21.451740	9650
44	16.000000	20.655970	9443
46	20.000000	19.686674	9107
48	24.000000	18.522326	9399
50	28.000000	17.235592	9186
52	32.000000	15.841450	9160
54	36.000000	14.312061	8674
56	40.000000	12.734364	10262
58	44.000000	11.143864	9668
60	48.000000	9.636700	8638
62	52.000000	7.844091	8985
64	56.000000	6.520573	9820
66	60.000000	4.124537	9381
68	64.000000	3.442522	9575
72	72.000000	-0.160730	8929
