T	Ut	Ft	St	Ct
1.5000	-nan	inf	-nan	-nan
1.5100	-nan	inf	-nan	-nan
1.5200	-nan	inf	-nan	-nan
1.5300	-nan	inf	-nan	-nan
1.5400	-nan	inf	-nan	-nan
1.5500	-nan	inf	-nan	-nan
1.5600	-nan	inf	-nan	-nan
1.5700	-nan	inf	-nan	-nan
1.5800	-nan	inf	-nan	-nan
1.5900	-nan	inf	-nan	-nan
1.6000	-nan	inf	-nan	-nan
1.6100	-nan	inf	-nan	-nan
1.6200	-nan	inf	-nan	-nan
1.6300	-nan	inf	-nan	-nan
1.6400	-nan	inf	-nan	-nan
1.6500	-nan	inf	-nan	-nan
1.6600	-nan	inf	-nan	-nan
1.6700	-nan	inf	-nan	-nan
1.6800	-nan	inf	-nan	-nan
1.6900	-nan	inf	-nan	-nan
1.7000	-nan	inf	-nan	-nan
1.7100	-nan	inf	-nan	-nan
1.7200	-nan	inf	-nan	-nan
1.7300	-nan	inf	-nan	-nan
1.7400	-nan	inf	-nan	-nan
1.7500	-nan	inf	-nan	-nan
1.7600	-nan	inf	-nan	-nan
1.7700	-nan	inf	-nan	-nan
1.7800	-nan	inf	-nan	-nan
1.7900	-nan	inf	-nan	-nan
1.8000	-nan	inf	-nan	-nan
1.8100	-nan	inf	-nan	-nan
1.8200	-nan	inf	-nan	-nan
1.8300	-nan	inf	-nan	-nan
1.8400	-nan	inf	-nan	-nan
1.8500	-nan	inf	-nan	-nan
1.8600	-nan	inf	-nan	-nan
1.8700	-nan	inf	-nan	-nan
1.8800	-nan	inf	-nan	-nan
1.8900	-nan	inf	-nan	-nan
1.9000	-nan	inf	-nan	-nan
1.9100	-nan	inf	-nan	-nan
1.9200	-nan	inf	-nan	-nan
1.9300	-nan	inf	-nan	-nan
1.9400	-nan	inf	-nan	-nan
1.9500	-nan	inf	-nan	-nan
1.9600	-nan	inf	-nan	-nan
1.9700	-nan	inf	-nan	-nan
1.9800	-nan	inf	-nan	-nan
1.9900	-nan	inf	-nan	-nan
2.0000	-nan	inf	-nan	-nan
2.0100	-nan	inf	-nan	-nan
2.0200	-nan	inf	-nan	-nan
2.0300	-nan	inf	-nan	-nan
2.0400	-nan	inf	-nan	-nan
2.0500	-nan	inf	-nan	-nan
2.0600	-nan	inf	-nan	-nan
2.0700	-nan	inf	-nan	-nan
2.0800	-nan	inf	-nan	-nan
2.0900	-nan	inf	-nan	-nan
2.1000	-nan	inf	-nan	-nan
2.1100	-nan	inf	-nan	-nan
2.1200	-nan	inf	-nan	-nan
2.1300	-nan	inf	-nan	-nan
2.1400	-nan	inf	-nan	-nan
2.1500	-nan	inf	-nan	-nan
2.1600	-nan	inf	-nan	-nan
2.1700	-nan	inf	-nan	-nan
2.1800	-nan	inf	-nan	-nan
2.1900	-nan	inf	-nan	-nan
2.2000	-nan	inf	-nan	-nan
2.2100	-nan	inf	-nan	-nan
2.2200	-nan	inf	-nan	-nan
2.2300	-nan	inf	-nan	-nan
2.2400	-nan	inf	-nan	-nan
2.2500	-nan	inf	-nan	-nan
2.2600	-nan	inf	-nan	-nan
2.2700	-nan	inf	-nan	-nan
2.2800	-nan	inf	-nan	-nan
2.2900	-nan	inf	-nan	-nan
2.3000	-nan	inf	-nan	-nan
2.3100	-nan	inf	-nan	-nan
2.3200	-nan	inf	-nan	-nan
2.3300	-nan	inf	-nan	-nan
2.3400	-nan	inf	-nan	-nan
2.3500	-nan	inf	-nan	-nan
2.3600	-nan	inf	-nan	-nan
2.3700	-nan	inf	-nan	-nan
2.3800	-nan	inf	-nan	-nan
2.3900	-nan	inf	-nan	-nan
2.4000	-nan	inf	-nan	-nan
2.4100	-nan	inf	-nan	-nan
2.4200	-nan	inf	-nan	-nan
2.4300	-nan	inf	-nan	-nan
2.4400	-nan	inf	-nan	-nan
2.4500	-nan	inf	-nan	-nan
2.4600	-nan	inf	-nan	-nan
2.4700	-nan	inf	-nan	-nan
2.4800	-nan	inf	-nan	-nan
2.4900	-nan	inf	-nan	-nan
2.5000	-nan	inf	-nan	-nan
2.5100	-nan	inf	-nan	-nan
2.5200	-nan	inf	-nan	-nan
2.5300	-nan	inf	-nan	-nan
2.5400	-nan	inf	-nan	-nan
2.5500	-nan	inf	-nan	-nan
2.5600	-nan	inf	-nan	-nan
2.5700	-nan	inf	-nan	-nan
2.5800	-nan	inf	-nan	-nan
2.5900	-nan	inf	-nan	-nan
2.6000	-nan	inf	-nan	-nan
2.6100	-nan	inf	-nan	-nan
2.6200	-nan	inf	-nan	-nan
2.6300	-nan	inf	-nan	-nan
2.6400	-nan	inf	-nan	-nan
2.6500	-nan	inf	-nan	-nan
2.6600	-nan	inf	-nan	-nan
2.6700	-nan	inf	-nan	-nan
2.6800	-nan	inf	-nan	-nan
2.6900	-nan	inf	-nan	-nan
2.7000	-nan	inf	-nan	-nan
2.7100	-nan	inf	-nan	-nan
2.7200	-nan	inf	-nan	-nan
2.7300	-nan	inf	-nan	-nan
2.7400	-nan	inf	-nan	-nan
2.7500	-nan	inf	-nan	-nan
2.7600	-nan	inf	-nan	-nan
2.7700	-nan	inf	-nan	-nan
2.7800	-nan	inf	-nan	-nan
2.7900	-nan	inf	-nan	-nan
2.8000	-nan	inf	-nan	-nan
2.8100	-nan	inf	-nan	-nan
2.8200	-nan	inf	-nan	-nan
2.8300	-nan	inf	-nan	-nan
2.8400	-nan	inf	-nan	-nan
2.8500	-nan	inf	-nan	-nan
2.8600	-nan	inf	-nan	-nan
2.8700	-nan	inf	-nan	-nan
2.8800	-nan	inf	-nan	-nan
2.8900	-nan	inf	-nan	-nan
2.9000	-nan	inf	-nan	-nan
2.9100	-nan	inf	-nan	-nan
2.9200	-nan	inf	-nan	-nan
2.9300	-nan	inf	-nan	-nan
2.9400	-nan	inf	-nan	-nan
2.9500	-nan	inf	-nan	-nan
2.9600	-nan	inf	-nan	-nan
2.9700	-nan	inf	-nan	-nan
2.9800	-nan	inf	-nan	-nan
2.9900	-nan	inf	-nan	-nan
3.0000	-nan	inf	-nan	-nan
3.0100	-nan	inf	-nan	-nan
3.0200	-nan	inf	-nan	-nan
3.0300	-nan	inf	-nan	-nan
3.0400	-nan	inf	-nan	-nan
3.0500	-nan	inf	-nan	-nan
3.0600	-nan	inf	-nan	-nan
3.0700	-nan	inf	-nan	-nan
3.0800	-nan	inf	-nan	-nan
