T	Ut	Ft	St	Ct
0.0100	-nan	-inf	-nan	-nan
0.0200	-2.0000	-2.0000	0.0000	0.0000
0.0300	-2.0000	-2.0000	0.0000	0.0000
0.0400	-2.0000	-2.0000	0.0000	0.0000
0.0500	-2.0000	-2.0000	0.0000	0.0000
0.0600	-2.0000	-2.0000	0.0000	0.0000
0.0700	-2.0000	-2.0000	0.0000	0.0000
0.0800	-2.0000	-2.0000	0.0000	0.0000
0.0900	-2.0000	-2.0000	0.0000	0.0000
0.1000	-2.0000	-2.0000	0.0000	0.0000
0.1100	-2.0000	-2.0000	0.0000	0.0000
0.1200	-2.0000	-2.0000	0.0000	0.0000
0.1300	-2.0000	-2.0000	0.0000	0.0000
0.1400	-2.0000	-2.0000	0.0000	0.0000
0.1500	-2.0000	-2.0000	-0.0000	0.0000
0.1600	-2.0000	-2.0000	0.0000	0.0000
0.1700	-2.0000	-2.0000	0.0000	0.0000
0.1800	-2.0000	-2.0000	-0.0000	0.0000
0.1900	-2.0000	-2.0000	0.0000	0.0000
0.2000	-2.0000	-2.0000	0.0000	0.0000
0.2100	-2.0000	-2.0000	0.0000	0.0000
0.2200	-2.0000	-2.0000	0.0000	0.0000
0.2300	-2.0000	-2.0000	0.0000	0.0000
0.2400	-2.0000	-2.0000	0.0000	0.0000
0.2500	-2.0000	-2.0000	0.0000	-0.0000
0.2600	-2.0000	-2.0000	0.0000	0.0000
0.2700	-2.0000	-2.0000	0.0000	0.0000
0.2800	-2.0000	-2.0000	0.0000	0.0000
0.2900	-2.0000	-2.0000	0.0000	0.0000
0.3000	-2.0000	-2.0000	0.0000	0.0000
0.3100	-2.0000	-2.0000	0.0000	0.0000
0.3200	-2.0000	-2.0000	0.0000	0.0000
0.3300	-2.0000	-2.0000	0.0000	0.0000
0.3400	-2.0000	-2.0000	0.0000	0.0000
0.3500	-2.0000	-2.0000	0.0000	0.0000
0.3600	-2.0000	-2.0000	0.0000	0.0000
0.3700	-2.0000	-2.0000	0.0000	0.0000
0.3800	-2.0000	-2.0000	0.0000	0.0000
0.3900	-2.0000	-2.0000	0.0000	0.0000
0.4000	-2.0000	-2.0000	0.0000	0.0000
0.4100	-2.0000	-2.0000	0.0000	0.0000
0.4200	-2.0000	-2.0000	0.0000	0.0000
0.4300	-2.0000	-2.0000	0.0000	0.0000
0.4400	-2.0000	-2.0000	0.0000	0.0000
0.4500	-2.0000	-2.0000	0.0000	0.0000
0.4600	-2.0000	-2.0000	0.0000	0.0000
0.4700	-2.0000	-2.0000	0.0000	0.0000
0.4800	-2.0000	-2.0000	0.0000	0.0000
0.4900	-2.0000	-2.0000	0.0000	0.0000
0.5000	-2.0000	-2.0000	0.0000	0.0000
0.5100	-2.0000	-2.0000	0.0000	0.0000
0.5200	-2.0000	-2.0000	0.0000	0.0000
0.5300	-2.0000	-2.0000	0.0000	0.0000
0.5400	-2.0000	-2.0000	0.0000	0.0001
0.5500	-2.0000	-2.0000	0.0000	0.0001
0.5600	-2.0000	-2.0000	0.0000	0.0001
0.5700	-2.0000	-2.0000	0.0000	0.0001
0.5800	-2.0000	-2.0000	0.0000	0.0001
0.5900	-2.0000	-2.0000	0.0000	0.0002
0.6000	-2.0000	-2.0000	0.0000	0.0002
0.6100	-2.0000	-2.0000	0.0000	0.0002
0.6200	-2.0000	-2.0000	0.0000	0.0003
0.6300	-2.0000	-2.0000	0.0000	0.0003
0.6400	-2.0000	-2.0000	0.0000	0.0004
0.6500	-2.0000	-2.0000	0.0000	0.0005
0.6600	-2.0000	-2.0000	0.0001	0.0006
0.6700	-2.0000	-2.0000	0.0001	0.0007
0.6800	-2.0000	-2.0000	0.0001	0.0008
0.6900	-1.9999	-2.0000	0.0001	0.0009
0.7000	-1.9999	-2.0000	0.0001	0.0010
0.7100	-1.9999	-2.0000	0.0001	0.0012
0.7200	-1.9999	-2.0000	0.0001	0.0013
0.7300	-1.9999	-2.0000	0.0001	0.0015
0.7400	-1.9999	-2.0000	0.0002	0.0017
0.7500	-1.9999	-2.0000	0.0002	0.0019
0.7600	-1.9998	-2.0000	0.0002	0.0022
0.7700	-1.9998	-2.0000	0.0003	0.0025
0.7800	-1.9998	-2.0000	0.0003	0.0028
0.7900	-1.9998	-2.0000	0.0003	0.0031
0.8000	-1.9997	-2.0000	0.0004	0.0035
0.8100	-1.9997	-2.0000	0.0004	0.0038
0.8200	-1.9997	-2.0000	0.0005	0.0043
0.8300	-1.9996	-2.0000	0.0005	0.0047
0.8400	-1.9996	-2.0000	0.0006	0.0053
0.8500	-1.9995	-2.0001	0.0006	0.0058
0.8600	-1.9994	-2.0001	0.0007	0.0064
0.8700	-1.9994	-2.0001	0.0008	0.0071
0.8800	-1.9993	-2.0001	0.0009	0.0078
0.8900	-1.9992	-2.0001	0.0010	0.0086
0.9000	-1.9991	-2.0001	0.0011	0.0094
0.9100	-1.9990	-2.0001	0.0012	0.0104
0.9200	-1.9989	-2.0001	0.0013	0.0114
0.9300	-1.9988	-2.0001	0.0014	0.0124
0.9400	-1.9987	-2.0001	0.0016	0.0136
0.9500	-1.9985	-2.0002	0.0017	0.0149
0.9600	-1.9984	-2.0002	0.0019	0.0162
0.9700	-1.9982	-2.0002	0.0021	0.0176
0.9800	-1.9980	-2.0002	0.0022	0.0191
0.9900	-1.9978	-2.0002	0.0024	0.0207
1.0000	-1.9976	-2.0003	0.0027	0.0224
1.0100	-1.9974	-2.0003	0.0029	0.0242
1.0200	-1.9971	-2.0003	0.0031	0.0260
1.0300	-1.9969	-2.0004	0.0034	0.0279
1.0400	-1.9966	-2.0004	0.0037	0.0299
1.0500	-1.9963	-2.0004	0.0040	0.0319
1.0600	-1.9959	-2.0005	0.0043	0.0340
1.0700	-1.9956	-2.0005	0.0046	0.0361
1.0800	-1.9952	-2.0006	0.0050	0.0383
1.0900	-1.9948	-2.0006	0.0053	0.0405
1.1000	-1.9944	-2.0007	0.0057	0.0427
1.1100	-1.9940	-2.0007	0.0061	0.0450
1.1200	-1.9935	-2.0008	0.0065	0.0473
1.1300	-1.9930	-2.0009	0.0069	0.0496
1.1400	-1.9925	-2.0009	0.0074	0.0519
1.1500	-1.9920	-2.0010	0.0079	0.0542
1.1600	-1.9914	-2.0011	0.0083	0.0564
1.1700	-1.9908	-2.0012	0.0088	0.0587
1.1800	-1.9902	-2.0013	0.0093	0.0610
1.1900	-1.9896	-2.0014	0.0099	0.0634
1.2000	-1.9890	-2.0015	0.0104	0.0659
1.2100	-1.9883	-2.0016	0.0110	0.0686
1.2200	-1.9876	-2.0017	0.0115	0.0714
1.2300	-1.9869	-2.0018	0.0121	0.0746
1.2400	-1.9861	-2.0019	0.0128	0.0781
1.2500	-1.9853	-2.0021	0.0134	0.0819
1.2600	-1.9845	-2.0022	0.0141	0.0859
1.2700	-1.9836	-2.0023	0.0148	0.0902
1.2800	-1.9827	-2.0025	0.0155	0.0946
1.2900	-1.9817	-2.0026	0.0162	0.0989
1.3000	-1.9807	-2.0028	0.0170	0.1031
1.3100	-1.9796	-2.0030	0.0178	0.1071
1.3200	-1.9786	-2.0032	0.0187	0.1108
1.3300	-1.9774	-2.0034	0.0195	0.1143
1.3400	-1.9763	-2.0036	0.0204	0.1177
1.3500	-1.9751	-2.0038	0.0213	0.1212
1.3600	-1.9738	-2.0040	0.0222	0.1250
1.3700	-1.9726	-2.0042	0.0231	0.1291
1.3800	-1.9713	-2.0045	0.0241	0.1336
1.3900	-1.9699	-2.0047	0.0250	0.1387
1.4000	-1.9685	-2.0050	0.0260	0.1440
1.4100	-1.9670	-2.0052	0.0271	0.1495
1.4200	-1.9655	-2.0055	0.0282	0.1550
1.4300	-1.9639	-2.0058	0.0293	0.1602
1.4400	-1.9623	-2.0061	0.0304	0.1650
1.4500	-1.9606	-2.0064	0.0316	0.1694
1.4600	-1.9589	-2.0067	0.0327	0.1736
1.4700	-1.9571	-2.0070	0.0339	0.1778
1.4800	-1.9553	-2.0074	0.0352	0.1824
1.4900	-1.9535	-2.0077	0.0364	0.1878
1.5000	-1.9516	-2.0081	0.0377	0.1939
1.5100	-1.9496	-2.0085	0.0390	0.2006
1.5200	-1.9476	-2.0089	0.0403	0.2076
1.5300	-1.9455	-2.0093	0.0417	0.2143
1.5400	-1.9433	-2.0097	0.0431	0.2204
1.5500	-1.9411	-2.0102	0.0446	0.2260
1.5600	-1.9388	-2.0106	0.0461	0.2314
1.5700	-1.9364	-2.0111	0.0476	0.2371
1.5800	-1.9340	-2.0116	0.0491	0.2436
1.5900	-1.9316	-2.0121	0.0506	0.2511
1.6000	-1.9290	-2.0126	0.0522	0.2597
