i	E(i)	g[i]	hist[i]
0	-73728.000000	0.000000	3748797
4	-73720.000000	9.405241	3786371
6	-73716.000000	10.473741	3906011
8	-73712.000000	18.664925	3878730
10	-73708.000000	19.998101	3948970
12	-73704.000000	27.514443	4007390
14	-73700.000000	29.218423	3982838
16	-73696.000000	36.341243	4145961
18	-73692.000000	38.359857	4079786
20	-73688.000000	44.864840	4056402
22	-73684.000000	47.182700	4068684
24	-73680.000000	53.411765	4135730
26	-73676.000000	55.720425	4066863
28	-73672.000000	61.864161	4113572
30	-73668.000000	64.280934	4098559
32	-73664.000000	69.955216	4068617
34	-73660.000000	72.758594	4110312
36	-73656.000000	78.052453	4040101
38	-73652.000000	80.989961	4024293
40	-73648.000000	86.175506	4019062
42	-73644.000000	89.140226	4032179
44	-73640.000000	94.141893	4063211
46	-73636.000000	97.224899	4058666
48	-73632.000000	102.037115	4107933
50	-73628.000000	105.331840	4104080
52	-73624.000000	109.856642	4067491
54	-73620.000000	113.197064	4093704
56	-73616.000000	117.694968	4155461
58	-73612.000000	120.964768	4074674
60	-73608.000000	125.516892	4188704
62	-73604.000000	128.789868	4114324
64	-73600.000000	133.172970	4188504
66	-73596.000000	136.636656	4247353
68	-73592.000000	140.772843	4177654
70	-73588.000000	144.226256	4086629
72	-73584.000000	148.342636	4176222
74	-73580.000000	151.725390	4035679
76	-73576.000000	155.926607	4156183
78	-73572.000000	159.282488	4054249
80	-73568.000000	163.343159	4136594
82	-73564.000000	166.831875	4071308
84	-73560.000000	170.754042	4100257
86	-73556.000000	174.295805	4131501
88	-73552.000000	178.163523	4069151
90	-73548.000000	181.700777	4092501
92	-73544.000000	185.537674	4081288
94	-73540.000000	189.118378	4179660
96	-73536.000000	192.965939	4165456
98	-73532.000000	196.386893	4156863
100	-73528.000000	200.222250	4162131
102	-73524.000000	203.704602	4137282
104	-73520.000000	207.404875	4115047
106	-73516.000000	210.939185	4104419
108	-73512.000000	214.585049	4126358
110	-73508.000000	218.148432	4114717
112	-73504.000000	221.740098	4080082
114	-73500.000000	225.296607	4077735
116	-73496.000000	228.903027	4116274
118	-73492.000000	232.442372	4047600
120	-73488.000000	236.057465	4124160
122	-73484.000000	239.561375	4050018
124	-73480.000000	243.109362	4079613
126	-73476.000000	246.665127	4068594
128	-73472.000000	250.253253	4188467
130	-73468.000000	253.726449	4052050
132	-73464.000000	257.307209	4204682
134	-73460.000000	260.744862	4050686
136	-73456.000000	264.316660	4132421
138	-73452.000000	267.741391	4089818
140	-73448.000000	271.332589	4164512
142	-73444.000000	274.739514	4071064
144	-73440.000000	278.267088	4061039
146	-73436.000000	281.757992	4070146
148	-73432.000000	285.182753	4090573
150	-73428.000000	288.677344	4068107
152	-73424.000000	292.043749	4027381
154	-73420.000000	295.559567	4028690
