i	E(i)	g[i]	hist[i]
0	-18432.000000	0.000000	2627639
4	-18424.000000	8.769469	2723104
6	-18420.000000	9.596188	2834481
8	-18416.000000	16.925568	2688165
10	-18412.000000	18.388972	2642614
12	-18408.000000	24.785101	2614080
14	-18404.000000	26.588236	2577946
16	-18400.000000	32.380465	2576646
18	-18396.000000	34.562619	2637949
20	-18392.000000	39.804570	2572251
22	-18388.000000	42.192896	2649098
24	-18384.000000	47.091241	2586343
26	-18380.000000	49.668723	2697412
28	-18376.000000	54.229296	2618624
30	-18372.000000	56.914033	2684667
32	-18368.000000	61.255892	2625226
34	-18364.000000	64.025530	2643222
36	-18360.000000	68.186019	2587116
38	-18356.000000	71.044331	2603517
40	-18352.000000	75.009858	2594141
42	-18348.000000	78.014044	2671106
44	-18344.000000	81.810427	2633678
46	-18340.000000	84.804782	2679494
48	-18336.000000	88.495040	2632348
50	-18332.000000	91.538388	2658569
52	-18328.000000	95.106517	2640482
54	-18324.000000	98.175070	2676472
56	-18320.000000	101.637175	2626068
58	-18316.000000	104.735421	2648225
60	-18312.000000	108.161738	2600570
62	-18308.000000	111.227694	2587876
64	-18304.000000	114.588641	2595752
66	-18300.000000	117.671538	2627438
68	-18296.000000	120.970816	2587686
70	-18292.000000	124.044310	2632910
72	-18288.000000	127.286097	2561066
74	-18284.000000	130.358643	2566347
76	-18280.000000	133.537209	2532405
78	-18276.000000	136.636468	2576995
80	-18272.000000	139.770251	2554914
82	-18268.000000	142.819749	2536103
84	-18264.000000	145.970427	2542064
86	-18260.000000	149.032281	2555519
88	-18256.000000	152.117800	2537020
90	-18252.000000	155.174460	2530520
92	-18248.000000	158.250050	2527785
94	-18244.000000	161.246096	2499430
96	-18240.000000	164.324935	2529754
98	-18236.000000	167.350102	2494237
100	-18232.000000	170.374135	2563875
102	-18228.000000	173.385264	2540410
104	-18224.000000	176.415202	2569344
106	-18220.000000	179.389456	2576040
108	-18216.000000	182.360205	2548756
110	-18212.000000	185.358546	2591190
112	-18208.000000	188.348223	2556608
114	-18204.000000	191.295018	2589171
116	-18200.000000	194.262753	2547651
118	-18196.000000	197.203055	2555754
120	-18192.000000	200.125991	2540210
122	-18188.000000	203.059956	2542577
124	-18184.000000	206.008231	2591706
126	-18180.000000	208.912188	2563248
128	-18176.000000	211.841283	2589941
130	-18172.000000	214.716367	2562007
132	-18168.000000	217.620362	2561079
134	-18164.000000	220.511191	2552698
136	-18160.000000	223.377730	2555242
138	-18156.000000	226.253394	2539596
140	-18152.000000	229.121636	2563519
142	-18148.000000	231.985150	2567003
144	-18144.000000	234.839711	2576857
146	-18140.000000	237.706956	2590731
148	-18136.000000	240.527894	2562467
150	-18132.000000	243.378005	2593148
152	-18128.000000	246.185090	2566185
154	-18124.000000	249.014445	2567098
156	-18120.000000	251.860686	2592558
158	-18116.000000	254.653678	2568646
160	-18112.000000	257.486567	2563558
162	-18108.000000	260.286366	2571775
164	-18104.000000	263.085284	2566708
166	-18100.000000	265.876708	2585910
168	-18096.000000	268.654187	2564997
170	-18092.000000	271.426482	2572046
172	-18088.000000	274.229718	2594777
174	-18084.000000	276.959374	2572371
176	-18080.000000	279.765649	2587477
178	-18076.000000	282.535148	2578142
180	-18072.000000	285.280003	2564715
182	-18068.000000	288.062714	2569137
184	-18064.000000	290.806128	2572218
186	-18060.000000	293.561009	2580985
188	-18056.000000	296.282565	2554364
190	-18052.000000	299.010077	2580046
192	-18048.000000	301.746119	2556914
194	-18044.000000	304.455090	2548065
196	-18040.000000	307.214646	2583957
198	-18036.000000	309.932404	2562435
200	-18032.000000	312.632619	2573509
202	-18028.000000	315.346318	2551829
204	-18024.000000	318.072522	2582803
206	-18020.000000	320.746854	2563579
208	-18016.000000	323.446412	2575061
210	-18012.000000	326.138986	2585165
212	-18008.000000	328.853797	2587454
