i	E(i)	g[i]	hist[i]
0	-32768.000000	0.000000	3066051
4	-32760.000000	9.167003	3049534
6	-32756.000000	9.881866	2993796
8	-32752.000000	17.682485	3070739
10	-32748.000000	19.051983	3065088
12	-32744.000000	26.164606	3095837
14	-32740.000000	27.909613	3046787
16	-32736.000000	34.268566	3101540
18	-32732.000000	36.351860	3062786
20	-32728.000000	42.136606	3082911
22	-32724.000000	44.454598	3043484
24	-32720.000000	49.947142	3090185
26	-32716.000000	52.406308	3046646
28	-32712.000000	57.701382	3140158
30	-32708.000000	60.263981	3091788
32	-32704.000000	65.235837	3147658
34	-32700.000000	67.881451	3101314
36	-32696.000000	72.571519	3080574
38	-32692.000000	75.482199	3086455
40	-32688.000000	80.001403	3165921
42	-32684.000000	82.944417	3191630
44	-32680.000000	87.280055	3219915
46	-32676.000000	90.348729	3235218
48	-32672.000000	94.571395	3274383
50	-32668.000000	97.530076	3195788
52	-32664.000000	101.587319	3226676
54	-32660.000000	104.778850	3283447
56	-32656.000000	108.747441	3282276
58	-32652.000000	111.878329	3330977
60	-32648.000000	115.651914	3261082
62	-32644.000000	118.918782	3352242
64	-32640.000000	122.661038	3269494
66	-32636.000000	125.811963	3219876
68	-32632.000000	129.609283	3286665
70	-32628.000000	132.755771	3228481
72	-32624.000000	136.461763	3272926
74	-32620.000000	139.627635	3229133
76	-32616.000000	143.267181	3292579
78	-32612.000000	146.528152	3282951
80	-32608.000000	150.003448	3306237
82	-32604.000000	153.305593	3265304
84	-32600.000000	156.709072	3338971
86	-32596.000000	160.010654	3252473
88	-32592.000000	163.454759	3333450
90	-32588.000000	166.737649	3298098
92	-32584.000000	170.099693	3299559
94	-32580.000000	173.384273	3298215
96	-32576.000000	176.696676	3303860
98	-32572.000000	179.930486	3264612
100	-32568.000000	183.267398	3310725
102	-32564.000000	186.494873	3298069
104	-32560.000000	189.767435	3277052
106	-32556.000000	193.019394	3313619
108	-32552.000000	196.285900	3319433
110	-32548.000000	199.504387	3328293
112	-32544.000000	202.759575	3311397
114	-32540.000000	205.967323	3348815
116	-32536.000000	209.190878	3348856
118	-32532.000000	212.380851	3311489
120	-32528.000000	215.591116	3359656
122	-32524.000000	218.754379	3366625
124	-32520.000000	221.929258	3377458
126	-32516.000000	225.121588	3383596
128	-32512.000000	228.295648	3403886
130	-32508.000000	231.479132	3429314
132	-32504.000000	234.625048	3428760
134	-32500.000000	237.812906	3456826
136	-32496.000000	240.940164	3429474
138	-32492.000000	244.092874	3439990
140	-32488.000000	247.240704	3432265
142	-32484.000000	250.288961	3386964
144	-32480.000000	253.463472	3425806
146	-32476.000000	256.546585	3381933
148	-32472.000000	259.673645	3416983
150	-32468.000000	262.719179	3365204
152	-32464.000000	265.825674	3360892
154	-32460.000000	268.928543	3355297
156	-32456.000000	271.983917	3376003
158	-32452.000000	275.111008	3397673
160	-32448.000000	278.146418	3374946
162	-32444.000000	281.240254	3440825
164	-32440.000000	284.278036	3384942
166	-32436.000000	287.354288	3419504
168	-32432.000000	290.379923	3361702
170	-32428.000000	293.410835	3362499
172	-32424.000000	296.474081	3394990
174	-32420.000000	299.511667	3379372
176	-32416.000000	302.561722	3380809
178	-32412.000000	305.584578	3393076
180	-32408.000000	308.653036	3427094
182	-32404.000000	311.655522	3409387
184	-32400.000000	314.703072	3459863
186	-32396.000000	317.694000	3422785
188	-32392.000000	320.684359	3414684
190	-32388.000000	323.661940	3433362
192	-32384.000000	326.615900	3420496
194	-32380.000000	329.650259	3440562
196	-32376.000000	332.646111	3493211
198	-32372.000000	335.620722	3466906
200	-32368.000000	338.566885	3478452
202	-32364.000000	341.567339	3513684
204	-32360.000000	344.498827	3472394
206	-32356.000000	347.502598	3502291
208	-32352.000000	350.445652	3499595
210	-32348.000000	353.409794	3495679
212	-32344.000000	356.340792	3483314
214	-32340.000000	359.262377	3461070
216	-32336.000000	362.234690	3463094
218	-32332.000000	365.119120	3451734
220	-32328.000000	368.067185	3474171
222	-32324.000000	370.972474	3469593
224	-32320.000000	373.900183	3463164
226	-32316.000000	376.809777	3475499
228	-32312.000000	379.686804	3466770
230	-32308.000000	382.616566	3483495
232	-32304.000000	385.526450	3501474
234	-32300.000000	388.445191	3506715
236	-32296.000000	391.328442	3507739
238	-32292.000000	394.241232	3535222
240	-32288.000000	397.135613	3548371
242	-32284.000000	400.040494	3566201
244	-32280.000000	402.942208	3558093
246	-32276.000000	405.814379	3575170
248	-32272.000000	408.684697	3582899
250	-32268.000000	411.594193	3600113
252	-32264.000000	414.442740	3586290
254	-32260.000000	417.319993	3603933
256	-32256.000000	420.165934	3618336
258	-32252.000000	423.005759	3600364
260	-32248.000000	425.881169	3625631
262	-32244.000000	428.700621	3595926
264	-32240.000000	431.569779	3608885
266	-32236.000000	434.385506	3585093
268	-32232.000000	437.240027	3589278
270	-32228.000000	440.062226	3543227
272	-32224.000000	442.902818	3551899
274	-32220.000000	445.719804	3535771
276	-32216.000000	448.575728	3585310
278	-32212.000000	451.355546	3538055
280	-32208.000000	454.212014	3565837
282	-32204.000000	457.005296	3559335
284	-32200.000000	459.851313	3587628
286	-32196.000000	462.643798	3575292
288	-32192.000000	465.487166	3609192
290	-32188.000000	468.271478	3578937
292	-32184.000000	471.062800	3591950
294	-32180.000000	473.877059	3610196
296	-32176.000000	476.683591	3609393
298	-32172.000000	479.451270	3572544
300	-32168.000000	482.268243	3600301
302	-32164.000000	485.046918	3606759
304	-32160.000000	487.816146	3607458
306	-32156.000000	490.599730	3595106
308	-32152.000000	493.376662	3619818
310	-32148.000000	496.130172	3595024
312	-32144.000000	498.906672	3598134
314	-32140.000000	501.660363	3596297
316	-32136.000000	504.401088	3562922
318	-32132.000000	507.187949	3592210
320	-32128.000000	509.920364	3590224
322	-32124.000000	512.673339	3559742
324	-32120.000000	515.440076	3600687
326	-32116.000000	518.187017	3561167
328	-32112.000000	520.962669	3604426
330	-32108.000000	523.660466	3580445
332	-32104.000000	526.427695	3591826
334	-32100.000000	529.144325	3570062
336	-32096.000000	531.888061	3572432
338	-32092.000000	534.624459	3587317
340	-32088.000000	537.400077	3617830
342	-32084.000000	540.099935	3625043
344	-32080.000000	542.817386	3625336
346	-32076.000000	545.558904	3627729
348	-32072.000000	548.277904	3626062
350	-32068.000000	550.987180	3632857
352	-32064.000000	553.701673	3617727
354	-32060.000000	556.431777	3641066
356	-32056.000000	559.116166	3610057
358	-32052.000000	561.862253	3636131
360	-32048.000000	564.559253	3633826
362	-32044.000000	567.266332	3637573
364	-32040.000000	569.977516	3631298
366	-32036.000000	572.637113	3601359
368	-32032.000000	575.368436	3619223
370	-32028.000000	578.049293	3610078
372	-32024.000000	580.722535	3604407
374	-32020.000000	583.428550	3610902
