i	E(i)	g[i]	hist[i]
0	-1152.000000	0.000000	227552
4	-1144.000000	6.321165	251001
6	-1140.000000	6.980366	268358
8	-1136.000000	11.967072	274288
10	-1132.000000	13.345798	280836
12	-1128.000000	17.272951	279083
14	-1124.000000	19.054911	282329
16	-1120.000000	22.355919	272340
18	-1116.000000	24.344774	269461
20	-1112.000000	27.231083	264882
22	-1108.000000	29.363983	277176
24	-1104.000000	31.988047	272771
26	-1100.000000	34.207577	278930
28	-1096.000000	36.680006	280189
30	-1092.000000	38.911562	283319
32	-1088.000000	41.282494	281260
34	-1084.000000	43.507210	276738
36	-1080.000000	45.778553	281514
38	-1076.000000	47.971695	277772
40	-1072.000000	50.163773	276464
42	-1068.000000	52.361317	276686
44	-1064.000000	54.502417	282849
46	-1060.000000	56.677155	286862
48	-1056.000000	58.797094	285357
50	-1052.000000	60.928745	295626
52	-1048.000000	63.022718	289987
54	-1044.000000	65.120752	287471
56	-1040.000000	67.203928	286479
58	-1036.000000	69.280308	294282
60	-1032.000000	71.345938	294155
62	-1028.000000	73.377848	293353
64	-1024.000000	75.409262	294013
66	-1020.000000	77.430296	306179
68	-1016.000000	79.452187	302734
70	-1012.000000	81.457636	308257
72	-1008.000000	83.457066	304146
74	-1004.000000	85.449139	309484
76	-1000.000000	87.416840	303542
78	-996.000000	89.388859	305424
80	-992.000000	91.352394	303702
82	-988.000000	93.298937	300877
84	-984.000000	95.258554	302291
86	-980.000000	97.197849	298428
88	-976.000000	99.125923	295938
90	-972.000000	101.032228	292115
92	-968.000000	102.944639	288885
94	-964.000000	104.846903	290895
96	-960.000000	106.753294	289167
98	-956.000000	108.648211	286539
100	-952.000000	110.528374	284910
102	-948.000000	112.405909	286173
104	-944.000000	114.283781	283113
106	-940.000000	116.150663	286301
108	-936.000000	118.015966	283081
110	-932.000000	119.868103	281766
112	-928.000000	121.714851	277658
114	-924.000000	123.551924	275205
116	-920.000000	125.395412	274326
118	-916.000000	127.236107	275270
120	-912.000000	129.066244	275977
122	-908.000000	130.895370	269948
124	-904.000000	132.708576	272744
126	-900.000000	134.518814	273904
128	-896.000000	136.331627	270748
130	-892.000000	138.136724	267697
132	-888.000000	139.941748	269849
134	-884.000000	141.748402	266618
136	-880.000000	143.543135	267969
138	-876.000000	145.345182	272625
140	-872.000000	147.120329	276497
142	-868.000000	148.914785	276877
144	-864.000000	150.697720	274590
146	-860.000000	152.481615	271469
148	-856.000000	154.253670	270136
150	-852.000000	156.027870	268078
152	-848.000000	157.790407	270223
154	-844.000000	159.561214	271330
156	-840.000000	161.319397	268058
158	-836.000000	163.075863	273344
160	-832.000000	164.831974	274508
162	-828.000000	166.574684	272218
164	-824.000000	168.325666	272457
166	-820.000000	170.077093	269525
168	-816.000000	171.817390	268492
170	-812.000000	173.574665	266200
172	-808.000000	175.309006	263944
174	-804.000000	177.049562	270127
176	-800.000000	178.792088	264742
178	-796.000000	180.511595	261751
180	-792.000000	182.251823	260848
182	-788.000000	183.986277	261201
184	-784.000000	185.725027	264191
186	-780.000000	187.442923	261393
188	-776.000000	189.172064	258983
190	-772.000000	190.901344	260546
192	-768.000000	192.624575	259931
194	-764.000000	194.346689	260583
196	-760.000000	196.053307	260414
198	-756.000000	197.770231	259237
200	-752.000000	199.483961	258265
202	-748.000000	201.193081	253308
204	-744.000000	202.901197	255247
206	-740.000000	204.609509	256372
208	-736.000000	206.308233	261873
210	-732.000000	208.014379	259987
212	-728.000000	209.711445	260554
214	-724.000000	211.402180	257290
216	-720.000000	213.088591	260583
218	-716.000000	214.780352	256809
220	-712.000000	216.458036	254317
222	-708.000000	218.147654	253553
224	-704.000000	219.830305	247541
226	-700.000000	221.515648	244546
228	-696.000000	223.188274	242896
230	-692.000000	224.856537	247608
232	-688.000000	226.517733	248439
234	-684.000000	228.174009	250701
236	-680.000000	229.822773	252344
238	-676.000000	231.471453	249413
240	-672.000000	233.122698	246095
242	-668.000000	234.768801	245705
244	-664.000000	236.400150	241248
246	-660.000000	238.036409	244643
248	-656.000000	239.670334	243866
250	-652.000000	241.288088	242955
252	-648.000000	242.908817	245618
254	-644.000000	244.534479	243575
256	-640.000000	246.139828	240028
258	-636.000000	247.734312	238997
260	-632.000000	249.344873	238257
262	-628.000000	250.943769	241007
264	-624.000000	252.531481	244049
266	-620.000000	254.126211	247751
268	-616.000000	255.704687	244071
270	-612.000000	257.282894	244626
272	-608.000000	258.846794	248276
274	-604.000000	260.404325	248341
276	-600.000000	261.961576	247757
278	-596.000000	263.505474	248234
280	-592.000000	265.050812	248406
282	-588.000000	266.578690	249596
284	-584.000000	268.119919	250046
286	-580.000000	269.638897	253148
288	-576.000000	271.164654	254792
290	-572.000000	272.680567	255391
292	-568.000000	274.194553	253776
294	-564.000000	275.692423	251413
296	-560.000000	277.186256	252862
298	-556.000000	278.675280	254377
300	-552.000000	280.161329	253095
302	-548.000000	281.644922	253335
304	-544.000000	283.109707	252188
306	-540.000000	284.568451	250072
308	-536.000000	286.021517	249289
310	-532.000000	287.471743	250501
312	-528.000000	288.920200	252908
314	-524.000000	290.360153	256856
316	-520.000000	291.789150	253900
318	-516.000000	293.207705	256013
320	-512.000000	294.632765	256413
322	-508.000000	296.033230	252304
324	-504.000000	297.436773	250317
326	-500.000000	298.840761	250257
328	-496.000000	300.227182	248141
330	-492.000000	301.612679	251562
332	-488.000000	302.989090	253260
334	-484.000000	304.350637	253605
336	-480.000000	305.705702	254335
338	-476.000000	307.067116	251356
340	-472.000000	308.410324	250348
342	-468.000000	309.743052	249453
344	-464.000000	311.070440	252839
346	-460.000000	312.388723	251473
348	-456.000000	313.712685	248544
350	-452.000000	315.021126	249958
352	-448.000000	316.318741	252340
354	-444.000000	317.601759	254887
356	-440.000000	318.878576	256489
358	-436.000000	320.146511	257932
360	-432.000000	321.408785	255143
362	-428.000000	322.662685	255114
364	-424.000000	323.915321	256016
366	-420.000000	325.153433	258949
368	-416.000000	326.378803	261458
370	-412.000000	327.597542	261826
372	-408.000000	328.805639	261097
374	-404.000000	330.008905	266657
376	-400.000000	331.201181	263229
378	-396.000000	332.384544	261558
380	-392.000000	333.559084	265179
382	-388.000000	334.730665	266069
384	-384.000000	335.886309	268339
386	-380.000000	337.042070	270469
388	-376.000000	338.179710	269448
390	-372.000000	339.306805	269874
392	-368.000000	340.427786	271815
394	-364.000000	341.549265	270469
396	-360.000000	342.654345	271893
398	-356.000000	343.741306	273212
400	-352.000000	344.824936	274860
402	-348.000000	345.900612	275064
404	-344.000000	346.961052	278886
406	-340.000000	348.018097	278120
