T	Ut	Ft	St	Ct
0.0100	-nan	-inf	-nan	-nan
0.0200	-2.0000	-2.0000	0.0000	0.0000
0.0300	-2.0000	-2.0000	0.0000	0.0000
0.0400	-2.0000	-2.0000	0.0000	0.0000
0.0500	-2.0000	-2.0000	0.0000	0.0000
0.0600	-2.0000	-2.0000	-0.0000	0.0000
0.0700	-2.0000	-2.0000	0.0000	0.0000
0.0800	-2.0000	-2.0000	0.0000	0.0000
0.0900	-2.0000	-2.0000	0.0000	0.0000
0.1000	-2.0000	-2.0000	0.0000	0.0000
0.1100	-2.0000	-2.0000	0.0000	0.0000
0.1200	-2.0000	-2.0000	-0.0000	0.0000
0.1300	-2.0000	-2.0000	-0.0000	0.0000
0.1400	-2.0000	-2.0000	-0.0000	0.0000
0.1500	-2.0000	-2.0000	0.0000	0.0000
0.1600	-2.0000	-2.0000	0.0000	0.0000
0.1700	-2.0000	-2.0000	0.0000	0.0000
0.1800	-2.0000	-2.0000	-0.0000	0.0000
0.1900	-2.0000	-2.0000	0.0000	0.0000
0.2000	-2.0000	-2.0000	0.0000	0.0000
0.2100	-2.0000	-2.0000	0.0000	-0.0000
0.2200	-2.0000	-2.0000	0.0000	-0.0000
0.2300	-2.0000	-2.0000	0.0000	0.0000
0.2400	-2.0000	-2.0000	0.0000	-0.0000
0.2500	-2.0000	-2.0000	0.0000	0.0000
0.2600	-2.0000	-2.0000	0.0000	0.0000
0.2700	-2.0000	-2.0000	0.0000	0.0000
0.2800	-2.0000	-2.0000	0.0000	0.0000
0.2900	-2.0000	-2.0000	0.0000	0.0000
0.3000	-2.0000	-2.0000	0.0000	0.0000
0.3100	-2.0000	-2.0000	0.0000	0.0000
0.3200	-2.0000	-2.0000	0.0000	0.0000
0.3300	-2.0000	-2.0000	0.0000	0.0000
0.3400	-2.0000	-2.0000	0.0000	0.0000
0.3500	-2.0000	-2.0000	0.0000	0.0000
0.3600	-2.0000	-2.0000	0.0000	0.0000
0.3700	-2.0000	-2.0000	0.0000	0.0000
0.3800	-2.0000	-2.0000	0.0000	0.0000
0.3900	-2.0000	-2.0000	0.0000	0.0000
0.4000	-2.0000	-2.0000	0.0000	0.0000
0.4100	-2.0000	-2.0000	0.0000	0.0000
0.4200	-2.0000	-2.0000	0.0000	0.0000
0.4300	-2.0000	-2.0000	0.0000	0.0000
0.4400	-2.0000	-2.0000	0.0000	0.0000
0.4500	-2.0000	-2.0000	0.0000	0.0000
0.4600	-2.0000	-2.0000	0.0000	0.0000
0.4700	-2.0000	-2.0000	0.0000	0.0000
0.4800	-2.0000	-2.0000	0.0000	0.0000
0.4900	-2.0000	-2.0000	0.0000	0.0000
0.5000	-2.0000	-2.0000	0.0000	0.0000
0.5100	-2.0000	-2.0000	0.0000	0.0000
0.5200	-2.0000	-2.0000	0.0000	0.0000
0.5300	-2.0000	-2.0000	0.0000	0.0000
0.5400	-2.0000	-2.0000	0.0000	0.0000
0.5500	-2.0000	-2.0000	0.0000	0.0001
0.5600	-2.0000	-2.0000	0.0000	0.0001
0.5700	-2.0000	-2.0000	0.0000	0.0001
0.5800	-2.0000	-2.0000	0.0000	0.0001
0.5900	-2.0000	-2.0000	0.0000	0.0001
0.6000	-2.0000	-2.0000	0.0000	0.0002
0.6100	-2.0000	-2.0000	0.0000	0.0002
0.6200	-2.0000	-2.0000	0.0000	0.0002
0.6300	-2.0000	-2.0000	0.0000	0.0003
0.6400	-2.0000	-2.0000	0.0000	0.0003
0.6500	-2.0000	-2.0000	0.0000	0.0004
0.6600	-2.0000	-2.0000	0.0000	0.0005
0.6700	-2.0000	-2.0000	0.0000	0.0006
0.6800	-2.0000	-2.0000	0.0001	0.0006
0.6900	-2.0000	-2.0000	0.0001	0.0007
0.7000	-1.9999	-2.0000	0.0001	0.0009
0.7100	-1.9999	-2.0000	0.0001	0.0010
0.7200	-1.9999	-2.0000	0.0001	0.0011
0.7300	-1.9999	-2.0000	0.0001	0.0013
0.7400	-1.9999	-2.0000	0.0001	0.0015
0.7500	-1.9999	-2.0000	0.0002	0.0017
0.7600	-1.9999	-2.0000	0.0002	0.0019
0.7700	-1.9998	-2.0000	0.0002	0.0021
0.7800	-1.9998	-2.0000	0.0002	0.0024
0.7900	-1.9998	-2.0000	0.0003	0.0027
0.8000	-1.9998	-2.0000	0.0003	0.0031
0.8100	-1.9997	-2.0000	0.0004	0.0035
0.8200	-1.9997	-2.0000	0.0004	0.0039
0.8300	-1.9997	-2.0000	0.0004	0.0044
0.8400	-1.9996	-2.0000	0.0005	0.0050
0.8500	-1.9996	-2.0000	0.0006	0.0056
0.8600	-1.9995	-2.0000	0.0006	0.0063
0.8700	-1.9994	-2.0001	0.0007	0.0071
0.8800	-1.9994	-2.0001	0.0008	0.0079
0.8900	-1.9993	-2.0001	0.0009	0.0088
0.9000	-1.9992	-2.0001	0.0010	0.0098
0.9100	-1.9991	-2.0001	0.0011	0.0109
0.9200	-1.9990	-2.0001	0.0012	0.0120
0.9300	-1.9988	-2.0001	0.0014	0.0132
0.9400	-1.9987	-2.0001	0.0015	0.0145
0.9500	-1.9985	-2.0001	0.0017	0.0158
0.9600	-1.9984	-2.0002	0.0019	0.0172
0.9700	-1.9982	-2.0002	0.0020	0.0187
0.9800	-1.9980	-2.0002	0.0022	0.0202
0.9900	-1.9978	-2.0002	0.0025	0.0218
1.0000	-1.9976	-2.0003	0.0027	0.0235
1.0100	-1.9973	-2.0003	0.0029	0.0252
1.0200	-1.9971	-2.0003	0.0032	0.0269
1.0300	-1.9968	-2.0003	0.0035	0.0286
1.0400	-1.9965	-2.0004	0.0037	0.0304
1.0500	-1.9962	-2.0004	0.0040	0.0323
1.0600	-1.9959	-2.0005	0.0044	0.0341
1.0700	-1.9955	-2.0005	0.0047	0.0360
1.0800	-1.9951	-2.0006	0.0050	0.0379
1.0900	-1.9947	-2.0006	0.0054	0.0399
1.1000	-1.9943	-2.0007	0.0058	0.0420
1.1100	-1.9939	-2.0007	0.0061	0.0442
1.1200	-1.9934	-2.0008	0.0066	0.0465
1.1300	-1.9930	-2.0009	0.0070	0.0490
1.1400	-1.9925	-2.0009	0.0074	0.0516
1.1500	-1.9919	-2.0010	0.0079	0.0542
1.1600	-1.9914	-2.0011	0.0084	0.0566
1.1700	-1.9908	-2.0012	0.0089	0.0591
1.1800	-1.9902	-2.0013	0.0094	0.0614
1.1900	-1.9896	-2.0014	0.0099	0.0639
1.2000	-1.9889	-2.0015	0.0104	0.0665
1.2100	-1.9882	-2.0016	0.0110	0.0694
1.2200	-1.9875	-2.0017	0.0116	0.0725
1.2300	-1.9868	-2.0018	0.0122	0.0760
1.2400	-1.9860	-2.0019	0.0128	0.0797
1.2500	-1.9852	-2.0021	0.0135	0.0836
1.2600	-1.9843	-2.0022	0.0142	0.0877
1.2700	-1.9834	-2.0023	0.0149	0.0920
1.2800	-1.9825	-2.0025	0.0156	0.0963
1.2900	-1.9815	-2.0027	0.0164	0.1006
1.3000	-1.9805	-2.0028	0.0172	0.1045
1.3100	-1.9794	-2.0030	0.0180	0.1079
1.3200	-1.9783	-2.0032	0.0188	0.1110
1.3300	-1.9772	-2.0034	0.0197	0.1139
1.3400	-1.9761	-2.0036	0.0205	0.1171
1.3500	-1.9749	-2.0038	0.0214	0.1208
1.3600	-1.9736	-2.0040	0.0223	0.1249
1.3700	-1.9724	-2.0042	0.0233	0.1290
1.3800	-1.9711	-2.0045	0.0242	0.1330
1.3900	-1.9697	-2.0047	0.0252	0.1367
1.4000	-1.9683	-2.0050	0.0262	0.1403
1.4100	-1.9669	-2.0052	0.0272	0.1441
1.4200	-1.9654	-2.0055	0.0282	0.1485
1.4300	-1.9639	-2.0058	0.0293	0.1537
1.4400	-1.9624	-2.0061	0.0304	0.1597
1.4500	-1.9607	-2.0064	0.0315	0.1664
1.4600	-1.9590	-2.0067	0.0327	0.1731
1.4700	-1.9573	-2.0071	0.0339	0.1795
1.4800	-1.9554	-2.0074	0.0351	0.1854
1.4900	-1.9536	-2.0078	0.0364	0.1910
1.5000	-1.9516	-2.0081	0.0377	0.1966
1.5100	-1.9496	-2.0085	0.0390	0.2025
1.5200	-1.9476	-2.0089	0.0404	0.2089
1.5300	-1.9455	-2.0093	0.0417	0.2158
1.5400	-1.9433	-2.0098	0.0432	0.2231
1.5500	-1.9410	-2.0102	0.0446	0.2306
1.5600	-1.9386	-2.0106	0.0462	0.2381
1.5700	-1.9362	-2.0111	0.0477	0.2454
1.5800	-1.9337	-2.0116	0.0493	0.2522
1.5900	-1.9312	-2.0121	0.0509	0.2584
1.6000	-1.9286	-2.0126	0.0525	0.2640
