T	Ut	Ft	St	Ct
0.0100	-nan	-inf	-nan	-nan
0.0200	-2.0000	-2.0000	0.0000	0.0000
0.0300	-2.0000	-2.0000	0.0000	0.0000
0.0400	-2.0000	-2.0000	0.0000	0.0000
0.0500	-2.0000	-2.0000	0.0000	0.0000
0.0600	-2.0000	-2.0000	0.0000	0.0000
0.0700	-2.0000	-2.0000	0.0000	0.0000
0.0800	-2.0000	-2.0000	0.0000	0.0000
0.0900	-2.0000	-2.0000	0.0000	0.0000
0.1000	-2.0000	-2.0000	-0.0000	0.0000
0.1100	-2.0000	-2.0000	0.0000	0.0000
0.1200	-2.0000	-2.0000	-0.0000	0.0000
0.1300	-2.0000	-2.0000	0.0000	0.0000
0.1400	-2.0000	-2.0000	-0.0000	0.0000
0.1500	-2.0000	-2.0000	0.0000	0.0000
0.1600	-2.0000	-2.0000	0.0000	0.0000
0.1700	-2.0000	-2.0000	0.0000	0.0000
0.1800	-2.0000	-2.0000	-0.0000	0.0000
0.1900	-2.0000	-2.0000	0.0000	0.0000
0.2000	-2.0000	-2.0000	0.0000	0.0000
0.2100	-2.0000	-2.0000	0.0000	0.0000
0.2200	-2.0000	-2.0000	0.0000	0.0000
0.2300	-2.0000	-2.0000	0.0000	-0.0000
0.2400	-2.0000	-2.0000	0.0000	0.0000
0.2500	-2.0000	-2.0000	0.0000	0.0000
0.2600	-2.0000	-2.0000	0.0000	0.0000
0.2700	-2.0000	-2.0000	0.0000	0.0000
0.2800	-2.0000	-2.0000	0.0000	0.0000
0.2900	-2.0000	-2.0000	0.0000	0.0000
0.3000	-2.0000	-2.0000	0.0000	0.0000
0.3100	-2.0000	-2.0000	0.0000	0.0000
0.3200	-2.0000	-2.0000	0.0000	0.0000
0.3300	-2.0000	-2.0000	0.0000	0.0000
0.3400	-2.0000	-2.0000	0.0000	0.0000
0.3500	-2.0000	-2.0000	0.0000	0.0000
0.3600	-2.0000	-2.0000	0.0000	0.0000
0.3700	-2.0000	-2.0000	0.0000	0.0000
0.3800	-2.0000	-2.0000	0.0000	0.0000
0.3900	-2.0000	-2.0000	0.0000	0.0000
0.4000	-2.0000	-2.0000	0.0000	0.0000
0.4100	-2.0000	-2.0000	0.0000	0.0000
0.4200	-2.0000	-2.0000	0.0000	0.0000
0.4300	-2.0000	-2.0000	0.0000	0.0000
0.4400	-2.0000	-2.0000	0.0000	0.0000
0.4500	-2.0000	-2.0000	0.0000	0.0000
0.4600	-2.0000	-2.0000	0.0000	0.0000
0.4700	-2.0000	-2.0000	0.0000	0.0000
0.4800	-2.0000	-2.0000	0.0000	0.0000
0.4900	-2.0000	-2.0000	0.0000	0.0000
0.5000	-2.0000	-2.0000	0.0000	0.0000
0.5100	-2.0000	-2.0000	0.0000	0.0000
0.5200	-2.0000	-2.0000	0.0000	0.0000
0.5300	-2.0000	-2.0000	0.0000	0.0001
0.5400	-2.0000	-2.0000	0.0000	0.0001
0.5500	-2.0000	-2.0000	0.0000	0.0001
0.5600	-2.0000	-2.0000	0.0000	0.0001
0.5700	-2.0000	-2.0000	0.0000	0.0002
0.5800	-2.0000	-2.0000	0.0000	0.0002
0.5900	-2.0000	-2.0000	0.0000	0.0002
0.6000	-2.0000	-2.0000	0.0000	0.0003
0.6100	-2.0000	-2.0000	0.0000	0.0003
0.6200	-2.0000	-2.0000	0.0000	0.0004
0.6300	-2.0000	-2.0000	0.0000	0.0005
0.6400	-2.0000	-2.0000	0.0001	0.0006
0.6500	-2.0000	-2.0000	0.0001	0.0007
0.6600	-2.0000	-2.0000	0.0001	0.0008
0.6700	-1.9999	-2.0000	0.0001	0.0009
0.6800	-1.9999	-2.0000	0.0001	0.0011
0.6900	-1.9999	-2.0000	0.0001	0.0013
0.7000	-1.9999	-2.0000	0.0001	0.0014
0.7100	-1.9999	-2.0000	0.0002	0.0017
0.7200	-1.9999	-2.0000	0.0002	0.0019
0.7300	-1.9999	-2.0000	0.0002	0.0021
0.7400	-1.9998	-2.0000	0.0002	0.0024
0.7500	-1.9998	-2.0000	0.0003	0.0027
0.7600	-1.9998	-2.0000	0.0003	0.0030
0.7700	-1.9997	-2.0000	0.0004	0.0034
0.7800	-1.9997	-2.0000	0.0004	0.0038
0.7900	-1.9997	-2.0000	0.0005	0.0042
0.8000	-1.9996	-2.0000	0.0005	0.0047
0.8100	-1.9996	-2.0000	0.0006	0.0052
0.8200	-1.9995	-2.0000	0.0006	0.0057
0.8300	-1.9995	-2.0001	0.0007	0.0063
0.8400	-1.9994	-2.0001	0.0008	0.0069
0.8500	-1.9993	-2.0001	0.0009	0.0075
0.8600	-1.9992	-2.0001	0.0010	0.0082
0.8700	-1.9992	-2.0001	0.0011	0.0090
0.8800	-1.9991	-2.0001	0.0012	0.0097
0.8900	-1.9990	-2.0001	0.0013	0.0106
0.9000	-1.9989	-2.0001	0.0014	0.0114
0.9100	-1.9987	-2.0001	0.0015	0.0124
0.9200	-1.9986	-2.0002	0.0017	0.0133
0.9300	-1.9985	-2.0002	0.0018	0.0144
0.9400	-1.9983	-2.0002	0.0020	0.0154
0.9500	-1.9982	-2.0002	0.0022	0.0166
0.9600	-1.9980	-2.0002	0.0023	0.0178
0.9700	-1.9978	-2.0003	0.0025	0.0190
0.9800	-1.9976	-2.0003	0.0027	0.0203
0.9900	-1.9974	-2.0003	0.0029	0.0217
1.0000	-1.9972	-2.0003	0.0032	0.0231
1.0100	-1.9969	-2.0004	0.0034	0.0245
1.0200	-1.9967	-2.0004	0.0037	0.0261
1.0300	-1.9964	-2.0005	0.0039	0.0276
1.0400	-1.9961	-2.0005	0.0042	0.0293
1.0500	-1.9958	-2.0005	0.0045	0.0310
1.0600	-1.9955	-2.0006	0.0048	0.0328
1.0700	-1.9952	-2.0006	0.0051	0.0346
1.0800	-1.9948	-2.0007	0.0054	0.0365
1.0900	-1.9944	-2.0007	0.0058	0.0385
1.1000	-1.9940	-2.0008	0.0061	0.0406
1.1100	-1.9936	-2.0009	0.0065	0.0427
1.1200	-1.9932	-2.0009	0.0069	0.0449
1.1300	-1.9927	-2.0010	0.0073	0.0471
1.1400	-1.9923	-2.0011	0.0077	0.0494
1.1500	-1.9917	-2.0012	0.0082	0.0518
1.1600	-1.9912	-2.0012	0.0086	0.0543
1.1700	-1.9907	-2.0013	0.0091	0.0569
1.1800	-1.9901	-2.0014	0.0096	0.0595
1.1900	-1.9895	-2.0015	0.0101	0.0623
1.2000	-1.9888	-2.0016	0.0107	0.0651
1.2100	-1.9882	-2.0017	0.0112	0.0680
1.2200	-1.9875	-2.0019	0.0118	0.0709
1.2300	-1.9867	-2.0020	0.0124	0.0740
1.2400	-1.9860	-2.0021	0.0130	0.0772
1.2500	-1.9852	-2.0022	0.0136	0.0804
1.2600	-1.9844	-2.0024	0.0143	0.0838
1.2700	-1.9835	-2.0025	0.0150	0.0872
1.2800	-1.9826	-2.0027	0.0157	0.0908
1.2900	-1.9817	-2.0028	0.0164	0.0945
1.3000	-1.9807	-2.0030	0.0171	0.0982
1.3100	-1.9797	-2.0032	0.0179	0.1021
1.3200	-1.9787	-2.0034	0.0187	0.1061
1.3300	-1.9776	-2.0035	0.0195	0.1102
1.3400	-1.9765	-2.0037	0.0203	0.1144
1.3500	-1.9753	-2.0040	0.0212	0.1188
1.3600	-1.9741	-2.0042	0.0221	0.1232
1.3700	-1.9729	-2.0044	0.0230	0.1278
1.3800	-1.9716	-2.0046	0.0240	0.1325
1.3900	-1.9702	-2.0049	0.0249	0.1373
1.4000	-1.9688	-2.0051	0.0259	0.1422
1.4100	-1.9674	-2.0054	0.0270	0.1473
1.4200	-1.9659	-2.0057	0.0280	0.1524
1.4300	-1.9643	-2.0060	0.0291	0.1577
1.4400	-1.9627	-2.0063	0.0302	0.1630
1.4500	-1.9611	-2.0066	0.0314	0.1684
1.4600	-1.9594	-2.0069	0.0326	0.1740
1.4700	-1.9576	-2.0072	0.0338	0.1796
1.4800	-1.9558	-2.0076	0.0350	0.1853
1.4900	-1.9539	-2.0079	0.0363	0.1911
1.5000	-1.9519	-2.0083	0.0376	0.1970
1.5100	-1.9499	-2.0087	0.0389	0.2029
1.5200	-1.9479	-2.0091	0.0402	0.2090
1.5300	-1.9458	-2.0095	0.0416	0.2151
1.5400	-1.9436	-2.0099	0.0431	0.2213
1.5500	-1.9413	-2.0103	0.0445	0.2277
1.5600	-1.9390	-2.0108	0.0460	0.2341
1.5700	-1.9367	-2.0112	0.0475	0.2406
1.5800	-1.9342	-2.0117	0.0491	0.2473
1.5900	-1.9317	-2.0122	0.0506	0.2541
1.6000	-1.9291	-2.0127	0.0523	0.2610
