0.000000	-nan	-nan
5.230000	3.011802	-5.530817
5.240000	3.010457	-5.619193
5.250000	3.009116	-5.706853
5.260000	3.007780	-5.793802
5.270000	3.006449	-5.880046
5.280000	3.005122	-5.965592
5.290000	3.003800	-6.050445
5.300000	3.002482	-6.134612
5.310000	3.001168	-6.218099
5.320000	2.999859	-6.300910
5.330000	2.998555	-6.383053
5.340000	2.997254	-6.464533
5.350000	2.995958	-6.545355
5.360000	2.994667	-6.625525
5.370000	2.993380	-6.705048
5.380000	2.992097	-6.783931
5.390000	2.990818	-6.862178
5.400000	2.989544	-6.939796
5.410000	2.988273	-7.016788
5.420000	2.987007	-7.093161
5.430000	2.985746	-7.168920
5.440000	2.984488	-7.244070
5.450000	2.983235	-7.318616
5.460000	2.981985	-7.392563
5.470000	2.980740	-7.465917
5.480000	2.979499	-7.538681
5.490000	2.978262	-7.610862
5.500000	2.977029	-7.682464
5.510000	2.975800	-7.753492
5.520000	2.974575	-7.823950
5.530000	2.973354	-7.893844
5.540000	2.972137	-7.963178
5.550000	2.970924	-8.031957
5.560000	2.969715	-8.100186
5.570000	2.968510	-8.167868
5.580000	2.967309	-8.235009
5.590000	2.966112	-8.301612
5.600000	2.964918	-8.367684
5.610000	2.963728	-8.433227
5.620000	2.962543	-8.498246
5.630000	2.961361	-8.562746
5.640000	2.960182	-8.626730
5.650000	2.959008	-8.690204
5.660000	2.957837	-8.753170
5.670000	2.956670	-8.815634
5.680000	2.955507	-8.877600
5.690000	2.954348	-8.939071
5.700000	2.953192	-9.000052
5.710000	2.952040	-9.060546
5.720000	2.950891	-9.120558
5.730000	2.949746	-9.180091
5.740000	2.948605	-9.239149
5.750000	2.947468	-9.297737
5.760000	2.946334	-9.355858
5.770000	2.945203	-9.413516
5.780000	2.944076	-9.470714
5.790000	2.942953	-9.527456
5.800000	2.941833	-9.583746
5.810000	2.940716	-9.639588
5.820000	2.939604	-9.694985
5.830000	2.938494	-9.749941
5.840000	2.937388	-9.804459
5.850000	2.936286	-9.858543
5.860000	2.935187	-9.912196
5.870000	2.934091	-9.965422
5.880000	2.932999	-10.018224
5.890000	2.931910	-10.070606
5.900000	2.930824	-10.122571
5.910000	2.929742	-10.174121
5.920000	2.928663	-10.225261
5.930000	2.927588	-10.275994
5.940000	2.926515	-10.326323
5.950000	2.925447	-10.376251
5.960000	2.924381	-10.425782
5.970000	2.923318	-10.474917
5.980000	2.922259	-10.523662
5.990000	2.921203	-10.572018
6.000000	2.920151	-10.619989
6.010000	2.919101	-10.667578
6.020000	2.918055	-10.714787
6.030000	2.917012	-10.761621
6.040000	2.915972	-10.808081
6.050000	2.914935	-10.854170
6.060000	2.913901	-10.899893
6.070000	2.912870	-10.945250
6.080000	2.911843	-10.990246
6.090000	2.910818	-11.034883
6.100000	2.909797	-11.079164
6.110000	2.908779	-11.123092
6.120000	2.907763	-11.166669
6.130000	2.906751	-11.209898
6.140000	2.905742	-11.252782
6.150000	2.904736	-11.295323
6.160000	2.903733	-11.337525
6.170000	2.902732	-11.379389
6.180000	2.901735	-11.420919
6.190000	2.900741	-11.462116
6.200000	2.899750	-11.502984
6.210000	2.898761	-11.543526
6.220000	2.897776	-11.583742
6.230000	2.896793	-11.623637
6.240000	2.895813	-11.663213
6.250000	2.894837	-11.702471
6.260000	2.893863	-11.741415
6.270000	2.892892	-11.780046
6.280000	2.891923	-11.818368
6.290000	2.890958	-11.856383
6.300000	2.889995	-11.894092
6.310000	2.889036	-11.931499
6.320000	2.888079	-11.968605
6.330000	2.887124	-12.005413
6.340000	2.886173	-12.041925
6.350000	2.885224	-12.078143
6.360000	2.884278	-12.114070
6.370000	2.883335	-12.149708
6.380000	2.882395	-12.185058
6.390000	2.881457	-12.220124
6.400000	2.880522	-12.254907
6.410000	2.879589	-12.289409
6.420000	2.878660	-12.323633
6.430000	2.877733	-12.357581
6.440000	2.876808	-12.391254
6.450000	2.875886	-12.424655
6.460000	2.874967	-12.457786
6.470000	2.874051	-12.490649
6.480000	2.873137	-12.523245
6.490000	2.872226	-12.555578
6.500000	2.871317	-12.587648
6.510000	2.870411	-12.619458
6.520000	2.869507	-12.651009
6.530000	2.868606	-12.682304
6.540000	2.867708	-12.713345
6.550000	2.866812	-12.744133
6.560000	2.865919	-12.774671
6.570000	2.865028	-12.804959
6.580000	2.864139	-12.835001
6.590000	2.863253	-12.864798
6.600000	2.862370	-12.894351
6.610000	2.861489	-12.923662
6.620000	2.860611	-12.952734
6.630000	2.859735	-12.981568
6.640000	2.858861	-13.010166
6.650000	2.857990	-13.038529
6.660000	2.857121	-13.066659
6.670000	2.856255	-13.094558
6.680000	2.855391	-13.122228
6.690000	2.854530	-13.149670
6.700000	2.853670	-13.176887
6.710000	2.852814	-13.203879
6.720000	2.851959	-13.230648
6.730000	2.851107	-13.257196
6.740000	2.850258	-13.283524
6.750000	2.849410	-13.309635
6.760000	2.848565	-13.335530
6.770000	2.847723	-13.361210
6.780000	2.846882	-13.386676
6.790000	2.846044	-13.411931
6.800000	2.845208	-13.436976
6.810000	2.844375	-13.461813
6.820000	2.843543	-13.486442
6.830000	2.842714	-13.510866
6.840000	2.841888	-13.535087
6.850000	2.841063	-13.559104
6.860000	2.840241	-13.582920
6.870000	2.839421	-13.606537
6.880000	2.838603	-13.629956
6.890000	2.837787	-13.653178
6.900000	2.836974	-13.676204
6.910000	2.836163	-13.699037
6.920000	2.835354	-13.721677
6.930000	2.834547	-13.744126
6.940000	2.833742	-13.766385
6.950000	2.832939	-13.788456
6.960000	2.832139	-13.810339
6.970000	2.831341	-13.832037
6.980000	2.830545	-13.853551
6.990000	2.829751	-13.874881
7.000000	2.828959	-13.896030
7.010000	2.828169	-13.916998
7.020000	2.827381	-13.937787
7.030000	2.826595	-13.958399
7.040000	2.825812	-13.978833
7.050000	2.825030	-13.999092
7.060000	2.824251	-14.019177
7.070000	2.823474	-14.039090
7.080000	2.822698	-14.058830
7.090000	2.821925	-14.078400
7.100000	2.821154	-14.097801
7.110000	2.820385	-14.117034
7.120000	2.819617	-14.136100
7.130000	2.818852	-14.155000
7.140000	2.818089	-14.173736
7.150000	2.817328	-14.192308
7.160000	2.816569	-14.210718
7.170000	2.815811	-14.228968
7.180000	2.815056	-14.247057
7.190000	2.814303	-14.264987
7.200000	2.813551	-14.282760
7.210000	2.812802	-14.300377
7.220000	2.812055	-14.317837
7.230000	2.811309	-14.335144
7.240000	2.810565	-14.352297
7.250000	2.809824	-14.369298
7.260000	2.809084	-14.386148
7.270000	2.808346	-14.402848
7.280000	2.807610	-14.419398
7.290000	2.806876	-14.435801
7.300000	2.806144	-14.452057
7.310000	2.805413	-14.468167
7.320000	2.804685	-14.484132
7.330000	2.803958	-14.499953
7.340000	2.803234	-14.515631
7.350000	2.802511	-14.531167
7.360000	2.801790	-14.546563
7.370000	2.801070	-14.561818
7.380000	2.800353	-14.576934
7.390000	2.799637	-14.591913
7.400000	2.798924	-14.606754
7.410000	2.798212	-14.621459
7.420000	2.797501	-14.636029
7.430000	2.796793	-14.650465
7.440000	2.796086	-14.664768
7.450000	2.795382	-14.678938
7.460000	2.794679	-14.692977
7.470000	2.793977	-14.706885
7.480000	2.793278	-14.720664
7.490000	2.792580	-14.734313
7.500000	2.791884	-14.747835
7.510000	2.791190	-14.761230
7.520000	2.790497	-14.774499
7.530000	2.789806	-14.787643
7.540000	2.789117	-14.800662
7.550000	2.788430	-14.813557
7.560000	2.787744	-14.826330
7.570000	2.787060	-14.838981
7.580000	2.786378	-14.851512
7.590000	2.785697	-14.863921
7.600000	2.785018	-14.876212
7.610000	2.784341	-14.888384
7.620000	2.783665	-14.900438
7.630000	2.782991	-14.912376
7.640000	2.782319	-14.924197
7.650000	2.781649	-14.935903
7.660000	2.780980	-14.947494
7.670000	2.780312	-14.958972
7.680000	2.779647	-14.970336
7.690000	2.778982	-14.981588
7.700000	2.778320	-14.992729
7.710000	2.777659	-15.003759
7.720000	2.777000	-15.014680
7.730000	2.776342	-15.025491
7.740000	2.775686	-15.036193
7.750000	2.775032	-15.046788
7.760000	2.774379	-15.057276
7.770000	2.773728	-15.067657
7.780000	2.773078	-15.077933
7.790000	2.772430	-15.088104
7.800000	2.771784	-15.098171
7.810000	2.771139	-15.108135
7.820000	2.770495	-15.117995
7.830000	2.769853	-15.127754
7.840000	2.769213	-15.137412
7.850000	2.768574	-15.146968
7.860000	2.767937	-15.156425
7.870000	2.767301	-15.165783
7.880000	2.766667	-15.175041
7.890000	2.766034	-15.184202
7.900000	2.765403	-15.193266
7.910000	2.764773	-15.202233
7.920000	2.764145	-15.211103
7.930000	2.763518	-15.219879
7.940000	2.762893	-15.228559
7.950000	2.762269	-15.237146
7.960000	2.761647	-15.245639
7.970000	2.761026	-15.254039
7.980000	2.760407	-15.262348
7.990000	2.759789	-15.270564
8.000000	2.759173	-15.278689
