-32	11.512925465	0
-30	23.887925463	0
-29	23.137925463	0
-28	21.450425463	0
-27	18.075425464	0
-26	17.262925464	0
-25	13.325425465	0
-24	13.637925465	0
-23	11.512925465	0
-22	11.950425465	0
-21	13.137925465	0
-20	13.387925465	0
-19	14.700425464	0
-18	13.075425465	0
-17	13.137925465	0
-16	12.387925465	0
-15	13.262925465	0
-14	14.012925465	0
-13	13.325425465	0
-12	14.387925464	0
-11	14.637925464	0
-10	14.700425464	0
-9	14.512925464	0
-8	14.012925465	0
-7	13.887925465	0
-6	14.200425465	0
-5	13.762925465	0
-4	14.387925464	0
-3	14.825425464	0
-2	15.137925464	0
-1	15.512925464	0
0	14.700425464	0
1	15.200425464	0
2	15.637925464	0
3	15.262925464	0
4	15.450425464	0
5	15.887925464	0
6	16.075425464	0
7	17.200425464	0
8	16.387925464	0
9	16.200425464	0
10	16.387925464	0
11	16.762925464	0
12	17.262925464	0
13	17.075425464	0
14	17.575425464	0
15	17.637925464	0
16	17.262925464	0
17	18.012925464	0
18	18.262925464	0
19	18.387925464	0
20	18.325425464	0
21	18.950425464	0
22	18.825425464	0
23	19.450425464	0
24	19.950425464	0
25	19.575425464	0
26	18.825425464	0
27	19.575425464	0
28	20.262925464	0
29	20.325425463	0
30	20.200425464	0
32	20.575425463	0
